id	title	title_en	keywords_en	keywords_fr	authors	date	langue	translated	subcountry	country	firstauthor	country2	author2	macroregion
26906	Aportes de la economía ambiental para la planificación territorial. Caso de estudio comuna de Quilpué, Chile		environmental economics,land planning,land planning instruments,ecosystem,biodiversity	économie de l’environnement,aménagement du territoire,instruments de planification de l’environnement,écosystème,biodiversité	Villanueva V. Antonio,Fagandini R. Francesca,Bazile Didier	2015-03-31	es	FALSE	Quilpue	CL	CL		FR	
26899	Is cities delineation a pre requisite for urban modelling? The example of land price determinants in Brussels		hedonic prices,cities delineations,Brussels	prix hédoniques,définition des aires urbaines,Bruxelles	Jones Jonathan,Peeters Dominique,Thomas Isabelle	2015-03-30	en	FALSE	Brussels	BE	BE			
26842	Environmental Impact Assessment as a Social Process: The Case of Nuclear Waste Storage in Sweden		Environmental Impact Assessment (EIA),decision-making,NGOs,nuclear waste repository	impact environnemental,prise de decision,déchets nucléaires,stockage déchets nucléaires	Keskitalo E. Carina H.,Nordlund Annika,Lindgren Urban	2015-03-10	en	FALSE		SE	SE			
26829	Multifractal portrayal of the Swiss population		fractal dimension,box-counting method,multifractal dimensions,Rényi dimensions,singularity spectrum,geodemography	dimension fractale,méthode de box-counting,dimensions multifractales,dimensions généralisées de Rényi,spectres multifractaux,géodémographie	Vega Orozco Carmen Delia,Golay Jean,Kanevski Mikhail	2015-03-09	en	FALSE		CH	CH			
26795	Voyage (à vélo) au pays de Poutine	Travel (by bike) to the country of Putin	St.Petersburg,Vyborg,Nevsky Prospekt,Russian Museum,Bolshaya Izhora,Kingisepp,Ivangorod,Gulf of Finland,Peter the Great,Catherine the Great	Saint Pétersbourg,Vyborg,Nevsky prospekt,Musée russe,Bolchaya Ijora,Kingisepp,Ivangorod,Golfe de Finlande,Pierre-le-Grand,Catherine II	Koper Bruno	2015-03-03	fr	TRUE		RU	FR			
26774	Dynamique spatiale et usage des schorres de l’Anse de l’Aiguillon de 1705 à nos jours. Enjeux de conservation d’un patrimoine naturel littoral marin	Spatial dynamics and human-uses of the salt-marshes of the Anse de l’Aiguillon since 1705. Conservation stakes of a coastal natural heritage	littoral,cartography,historical geography,nature conservation,Marais poitevin,saltmarshes	littoral,cartographie,géographie historique,conservation de la nature,Marais poitevin,prés salés	Godet Laurent,Pourinet Laurent,Joyeux Emmanuel,Verger Fernand	2015-02-24	fr	TRUE	Vendee	FR	FR			
26767	Évaluation des conséquences d’aménagements d’infrastructures sur les déplacements d’animaux. Définition et expérimentation d’un modèle de simulation agent	Assessment of the consequences of infrastructures on fauna movements. Definition and experimentation of an agent-based model for simulation	movement,fauna,functional space,simulation,geographical data	déplacement,faune,espace fonctionnel,simulation,données géographiques	Jolivet Laurence,Cohen Marianne,Ruas Anne	2015-02-21	fr	TRUE		FR	FR			
26763	Analyse spatiale de la structure des réseaux techniques dans un contexte de risques	Spatial analysis of technical networks structure in a risk context	spatial analysis,technical networks,risk,vulnerability,criticality,centrality	analyse spatiale,réseaux techniques,risques,vulnérabilité,criticité,centralité	Lhomme Serge	2015-02-20	fr	TRUE		FR	FR			
26756	Emergence, diffusion et déclin d’un réseau de cliniques franchisées en Inde	Emergence, diffusion and decline of a network of franchised clinics in India	franchising,healthcare network,spatial diffusion,India	franchisage,réseau de soins,diffusion spatiale,Inde	Lefebvre Bertrand	2015-02-19	fr	TRUE		IN	FR			
26753	De la forme urbaine à la structure métropolitaine : une typologie de la configuration interne des densités pour les principales métropoles européennes de l’Audit Urbain	From « urban form » to « metropolitan structure » : a typology of spatial configuration of density within Urban Audit’s « Larger Urban Zones »	urban functional areas,density,urban form,indicators,sprawl,polycentricity	aires fonctionnelles,densité,forme urbaine,indicateurs,étalement urbain,polycentrisme	Le Néchet Florent	2015-02-18	fr	TRUE		DE.AT.BE.BG.DK.ES.EE.FI.FR.GR.HU.IT.LV.LT.NL.PL.PT.CZ.RO.GB.SK.SE	FR			
26697	Faire face aux inégalités de mobilité	Dealing with Inequality in Mobility: Tactics, Strategies and Projects for Poor Households on the Outskirts of Paris	daily mobility,poverty,spatial inequality,social inequalities,actors’ strategy,territorial policies	mobilité quotidienne,pauvreté,inégalité spatiale,inégalité sociale,stratégie d’acteur,politiques territoriales	Jouffe Yves,Caubel David,Fol Sylvie,Motte-Baumvol Benjamin	2015-01-19	fr	TRUE	Paris	FR	FR			
26711	Mobilités actives et santé : apports et limites d’un protocole de mesure de la marche et du vélo combinant des capteurs de mouvements (GPS et accéléromètres)	Active mobility and health: contributions and limitations of a protocol for measuring walking and cycling combining motion sensors (GPS et accelerometer)	active mobility,GPS,accelerometer,health,physical activity,urban environment	mobilités actives,GPS,accéléromètre,santé,activité physique,environnement urbain	Misslin Renaud,Charreire Hélène,Weber Christiane,Enaux Christophe,Bastian Thomas,Simon Chantal,Oppert Jean-Michel	2015-01-18	fr	TRUE	Paris.Strasbourg	FR	FR			
26730	Multilevel comparison of large urban systems		urban systems,Zipf,Gibrat,cities trajectories,BRICS	systèmes de villes,Zipf,Gibrat,trajectoires de villes,BRICS	Pumain Denise,Swerts Elfie,Cottineau Clémentine,Vacchiani-Marcuzzo Céline,Ignazzi Antonio,Bretagnolle Anne,Delisle François,Cura Robin,Lizzi Liliane,Baffi Solène	2015-01-17	en	FALSE		BR.RU.IN.CN.ZA	FR			
26691	Mutations du système de villes belges	Evolution of the Belgian system of cities: changes in the economic profiles of the urban areas between 1981 and 2006	urban system,scaling laws,urban economy,innovation cycles,Belgium	systèmes urbains,lois d’échelle,économies urbaines,cycles d’innovation,Belgique	Condé Gilles	2015-01-16	fr	TRUE		BE	BE			
26675	La politique des périmètres d’urbanisation est-elle pertinente ? Le cas de la région métropolitaine de Portland, Oregon	Are Urban Growth Boundaries efficient? The case-study of the Portland, OR, Metropolitan Area	housing,regional governance,urban growth boundaries,urban sprawl,transportation	étalement urbain,périmètres d’urbanisation,gouvernance territoriale,logement,transports urbains	Zaninetti Jean-Marc	2014-12-25	fr	TRUE	Portland	US	FR			
26645	Pierre Deffontaines et les missions universitaires françaises au Brésil : enjeux politiques et pédagogiques d’une société savante outremer (1934-1938)	Pierre Deffontaines, and the French University missions in Brazil: political and pedagogical issues of an overseas scientific society (1934-1938)	Pierre Deffontaines,Caio Prado Junior,Pierre Monbeig,Association of Brazilian Geographers,USP,circulation of knowledge,teaching Geography	Pierre Deffontaines,Caio Prado Junior,Pierre Monbeig,Association des Géographes Brésiliens,USP,circulation des savoirs,enseignement de la géographie	Ferretti Federico	2014-12-24	fr	TRUE		BR	CH	FR		
26665	Morphologie urbaine et mobilité dans la Communauté Urbaine de Strasbourg	Urban morphology and mobility in Strasbourg	urban morphology,morphological indicators,urban mobility,Household Travel Survey,Strasbourg	morphologie urbaine,indicateurs morphologiques,mobilité urbaine,enquête ménages déplacements,Strasbourg	Tran Dong-Binh,Piombini Arnaud,Ignatowicz Michal,Moreno Diego,Frigui Rassil,Aguiléra Anne,Badariotti Dominique	2014-12-23	fr	TRUE	Strasbourg	FR	FR			
26610	Benchmarking of LUCC modelling tools by various validation techniques and error analysis		error analysis,LUCC,modelling,simulation assessment,validation	analyse d’erreur,LUCC,modélisation,simulation,validation	Paegelow Martin,Camacho Olmedo María Teresa,Mas Jean-François,Houet Thomas	2014-12-22	en	FALSE	Pyrenees	FR	FR		ES.MX	
26621	Définir la France en géographie : des professeurs et des élèves au travail dans l’enseignement secondaire	What is France like in geography? Pupils and Teachers at work in secondary school	school geography,geography of France,didactics trials,geography didactics,iconography	géographie scolaire,géographie de la France,épreuve didactique,didactique de la géographie,iconographie	Thémines Jean-François,Le Guern Anne-Laure	2014-12-21	fr	TRUE		FR	FR			
26579	OASIS – un Outil d’Analyse de la Ségrégation et des Inégalités Spatiales	OASIS – an Outright tool for the Analysis of Spatial Inequalities and Segregation	segregation,spatial autocorrelation,Monte Carlo simulation,Web mapping,spatial analysis	ségrégation,autocorrélation spatiale,simulation Monte Carlo,cartographie interactive,analyse spatiale	Tivadar Mihai,Schaeffer Yves,Torre André,Bray Frédéric	2014-12-20	fr	TRUE			FR			
26587	L’occupation et l’utilisation du sol en période de crise	Land use and occupancy after major catastrophes. The case of Tabarre municipality (Port-au-Prince, Haiti) after the earthquake of January 12th, 2010	land use and occupancy,disaster management,earthquake,vulnerability,cartography,Tabarre,Port-au-Prince,Haiti	occupation et utilisation du sol,gestion de crise,séisme,vulnérabilité,cartographie,Tabarre,Port-au-Prince,Haïti	Robert Jérémy,D’Ercole Robert	2014-12-20	fr	TRUE	Port-au-Prince	HT	PE		FR	
26597	Le renouvellement de la ville algérienne par la démolition-reconstruction du vieux bâti. De la sanction à la recherche de légitimité, Cas de la ville d’Annaba	The renewal of the Algerian town by the demolition-reconstruction of old buildings. From sanction to search of legitimacy. Case study of the city of Annaba	demolition,reconstruction,legitimacy,urban renewal,actors,private actors,Annaba,Algeria	démolition,reconstruction,légitimité,renouvellement urbain,acteurs,acteurs privés,Annaba,Algérie	Kebir Bahia,Zeghiche Anissa	2014-12-20	fr	TRUE	Annaba	DZ	DZ			
26567	Le Portugal et le défi de la transition énergétique : enjeux et conflits	Portugal and the challenge of the energy transition: issues and conflicts	energy transition,renewable,wind power,hydroelectricity,planning protests,local geopolitics issues,Portugal	transition énergétique,énergies renouvelables,éolien,hydroélectricité,conflit d’aménagement,géopolitique locale,Portugal	Bailoni Mark,Deshaies Michel	2014-12-19	fr	TRUE		PT	FR			
26636	Crise, métropolisation, et aménagement	Crisis, metropolization and urban planning	crisis,spatial Inversion,metropolization,urban planning,predatory economy,Raubwirtschaft	crise,inversions spatiales,métropolisation,aménagement,économie prédatrice,Raubwirtschaft	Guieysse Jean-Albert,Rebour Thierry	2014-12-19	fr	TRUE	Nantes	FR	FR			
26562	L’urbanisme qui vient	The coming urbanism. The use of values and storytelling in contemporary steering of urban projects (a Swiss example)	Urban planning,new urban governance,values,storytelling,urban project,Switzerland	urbanisme,nouvelle gouvernance urbaine,valeurs,storytelling,projet urbain,Suisse	Matthey Laurent	2014-12-08	fr	TRUE		CH	CH			
26555	Impact de la brise de mer sur le confort thermique au Maghreb oriental durant la saison chaude	Sea breeze impact on thermal comfort in Eastern Maghreb	Eastern Maghreb,sea breeze,thermal comfort	Maghreb oriental,brise,confort thermique	Dahech Salem	2014-12-02	fr	TRUE		TU	TU	LY		
26542	La montée des îles Aran dans la bibliothèque mondiale, une glocalisation littéraire	The glocal rise of Aran islands in the World Library	glocalization,Aran,world library,decolonization,literacy	glocalisation,Aran,bibliothèque mondiale,décolonisation,littératie	Barbe Frédéric	2014-11-08	fr	TRUE	Aran	IE	FR	GB.FR.US		
26530	SLIDER: Software for LongItudinal Data Exploration with R		interactive visualization,longitudinal data,R software,shiny web application	visualisation interactive,données longitudinales,logiciel R,application shiny	Commenges Hadrien,Pistre Pierre,Cura Robin	2014-11-07	en	FALSE			FR			
26522	TOXI-CITY: an agent-based model for exploring the effects of risk awareness and spatial configuration on the survival rate in the case of industrial accidents		technological risk,agent-based model,spatial behavior,simulation,urban morphology	risque technologique,modélisation multi-agents,comportement spatial,simulation,morphologie urbaine	Salze Paul,Beck Elise,Douvinet Johnny,Amalric Marion,Bonnet Emmanuel,Daudé Eric,Duraffour Françoise,Sheeren David	2014-11-06	en	FALSE			FR			
26511	Des territoires et des contrats au service de l’environnement. Le Lalangina, sur le versant ouest du COFAV (corridor forestier Ambositra Vondrozo) à Madagascar	Territories and contracts for the Environment. The Lalangina region, on the western slope of the Ambositra Vondrozo forest corridor, Madagascar	Madagascar,forest corridor,environmental policy,payment for ecological services,provisions,territory,biodiversity,forest,local community,poverty	Madagascar,corridor forestier,politiques environnementales,paiement pour service environnemental,dispositif,territoire,biodiversité,forêt,communauté locale,pauvreté	Rakoto Ramiarantsoa Hervé,Blanc-Pamard Chantal,Andriantseheno Dolys,Ramamonjy Haingo	2014-11-05	fr	TRUE	Lalangina	MG	FR		MG	
26490	La desserte aérienne de deux petits Etats insulaires : les Seychelles et Maurice	The air service of two small island States: Seychelles and Mauritius. Stakes and restructurings	island,air transport,tourism,Seychelles,Mauritius	île,transport aérien,tourisme,Seychelles,Maurice	Lamy-Giner Marie-Annick	2014-10-08	fr	TRUE		SC.MU	FR			
26483	Simuler les évolutions de l’utilisation du sol pour anticiper le futur d’un territoire	Simulating land use change to anticipate the becoming of a territory. Critical analysis of a geoprospective experience in a peri-urban catchment (Yzeron, Lyon metropolitan area)	spatial strategic foresight,territory,participatory workshop,scenario building,spatial land cover modeling,land use	géoprospective,territoire,atelier participatif,scénario,simulation,utilisation du sol	Dodane Clément,Joliveau Thierry,Rivière-Honegger Anne	2014-10-01	fr	TRUE	Lyon	FR	FR			
26457	La Crimée et l’Ukraine du sud à vélo		Crimea,South Ukraine,Simferopol,Yalta,Sebastopol,Skadovsk,Kherson,Odessa	Crimée,Ukraine du sud,Simferopol,Yalta,Sebastopol,Skadovsk,Kherson,Odessa	Koper Bruno	2014-09-19	fr	FALSE	Crimea	UA	FR			
26440	Dimensions fractales de réseaux vectoriels : méthodes d’estimation et robustesse des résultats		fractal dimensions,Stream networks,Virtual networks,Uncertainty	dimension fractale,Réseaux hydrographiques,Réseaux simulés,Incertitude	Thommeret Nathalie,Bailly Jean-Stéphane,Bardet Jean-Marc,Kaiser Brigitte,Puech Christian	2014-08-18	fr	FALSE			FR			
26431	Essai de typologie des espaces résidentiels à partir d’indicateurs désagrégés à l’échelle du bâtiment. Application à Besançon et à Metz	Typology of residential spaces from disaggregated indicators at the building scale. A case study for Besançon and Metz	urban spaces,residential built,disaggregated approach,data analysis,classification	espace urbain,bâtiments résidentiels,approche désagrégée,analyse factorielle,typologie	Sahraoui Yohan,Lunardi Nicolas,Antoni Jean-Philippe	2014-07-30	fr	TRUE	Besancon.Metz	FR	FR			
26427	Périurbanisation et durabilité : inverser la perspective	Peri-urbanization and Sustainability: Changing Perspective in a Radical Way	peri-urbanization,sustainability,planning,decision-making,spatial practices,place-based governance	périurbanisation,durabilité,aide à la décision,aménagement,pratiques spatiales,gouvernance territoriale	Mancebo François	2014-07-28	fr	TRUE			FR			
26423	Formes urbaines, modes d’occupation du sol et composition sociale en zone urbaine dense : des relations inattendues à Paris	Urban forms, land use and social mix in built up areas: the case of the city of Paris	GIS,land use,social mix,social fabric,social segregation,urban environment,Paris,gentrification	SIG,occupation du sol,organisation socio-résidentielle,environnement urbain,forme urbaine,gentrification,Paris	Rhein Catherine,Palibrk Milena	2014-07-27	fr	TRUE	Paris	FR	FR			
26416	El paisaje de la dehesa en la provincia de Jaén	The dehesa landscapes of Jaén	landscapes,dehesa,GIS	paysage,dehesa,SIG	Paniza Cabrera Antonia	2014-07-26	es	TRUE	Jaen	ES	ES			
26410	Réseaux de villes et détermination des pressions urbaines	Networks of the cities and evaluation of urban pressures	accessibility,land cover,urban pressure,modelling,simulation	accessibilité,occupation du sol,pression urbaine,modélisation,simulation	Decoupigny Fabrice,Passel Sébastien	2014-07-25	fr	TRUE	PACA	FR	FR			
26401	Peut-on cartographier des taches urbaines à partir d’images Google Earth ?	Mapping urban areas using Google Earth mosaic images	Google Earth,Mathematical morphology,Urban areas delineation,West Africa,Remote sensing	Google Earth,morphologie mathématique,taches urbaines,Afrique de l’Ouest,télédétection	Baro Johanna,Mering Catherine,Vachier Corinne	2014-07-24	fr	TRUE		NG.CI.SN.ML.NE.GN.GH	FR			
26376	Découper la France en régions	Cutting French space into regions. The regionalist imaginary confronted to territory	divisions,perimeters,regionalisms,regionalisation,geographical representations	découpage,périmètres,régionalismes,régionalisation,représentations géographiques	Brennetot Arnaud,Ruffray Sophie de	2014-07-23	fr	TRUE		FR	FR			
26387	Comment les paysans du corridor forestier de Fianarantsoa (Madagascar) dessinent-ils leur territoire ? Des cartes individuelles pour confronter les points de vue	How peasants from the forest corridor of Fianarantsoa (Madagascar) do draw their territory? Individual maps to gather several points of view	peasant map,forest,conservation,space organization,Madagascar	carte paysanne,forêt,conservation,organisation de l’espace,Madagascar	Hervé Dominique,Ramaroson Jean-Hyacinthe,Randrianarison Andry,Le Ber Florence	2014-07-23	fr	TRUE	Fandriana-Vondrozo	MG	FR		MG	
26362	Un indicateur global d’évaluation de la vulnérabilité écologique du milieu le long de grandes infrastructures linéaires : Pourquoi ? Comment ?	A biodiversity intactness index for main linear infrastructure projects. The exemple of the Seine-North Europe project	land settlement operator,planning decision-making tools,biodiversity,environmental issues,environmental assessment,sustainable indicator,biodiversity indicator,environmental conservation,ecological vulnerability,zoning	acteurs de l’aménagement,aide à la décision en aménagement,biodiversité,enjeux environnementaux,évaluation environnementale,indicateurs de développement durable,indicateur de biodiversité,protection/conservation de la nature,vulnérabilité écologique,zonage	Lorant-Plantier Émilie	2014-07-16	fr	TRUE	Somme	FR	FR			
26336	Réseaux de villes et processus de recomposition des niveaux : le cas des villes baltiques		city-networks,cities,international relations,regionalism,Europe,the Baltic,rescaling,Sea Region	réseaux de villes,villes,coopérations internationales,régionalisation,Europe,Baltique,recomposition des niveaux	Escach Nicolas,Vaudor Lise	2014-07-05	fr	FALSE		NO.SE.FI.RU.EE.LV.LT.PL.DE.DK	FR			
26325	Les réseaux de firmes multinationales dans les villes d’Europe centre-orientale	Multinational firms’ networks in central-eastern european cities	Central and Eastern Europe,system of cities,multinational firms,globalization,networks	Europe centrale et orientale,système de villes,firmes multinationales,globalisation,réseau	Di Lello Olivier,Rozenblat Céline	2014-06-20	fr	TRUE		RU.UA.BY.LV.EE.LT.PL.CZ.MD.RO.BG.SK.HU.SI.HR.BA.MK.ME.RS.DZ	CH			
26315	Les dépenses de personnel des collectivités locales franciliennes	Personnel expenditure for local goverments in Ile de France		finances publiques locales,personnel,administration,rigidité,réduction,typologies,territoires	Navarre Françoise	2014-05-19	fr	TRUE	Ile-de-France	FR	FR			
26310	La mobilité des familles tsiganes françaises à l’épreuve de la gestion politique de l’espace. Stratégies et résistances	The french Gypsies mobility confronted to the political space management. Strategies and resistances	mobility behavior,territorial conflict,life space,lifestyle,Gypsies	comportement de mobilité,conflit territorial,espace de vie,genre de vie,Tsiganes	Bergeon Céline	2014-05-13	fr	TRUE		FR	FR			
26296	Modélisation de la dynamique des systèmes socio-écologiques en vue de l’élaboration d’un cadre de référence pour la durabilité environnementale et territoriale : application au massif du Fouta-Djalon (Guinée)	Modelization of the socio-ecological systems for the elaboration of a referential framework for the environmental and territorial sustainability: application in the massif du Fouta-Djalon (Guinea)	Fouta-Djalon,territory,environment,land occupation,anthroposystem,systemic modelization,territorial prospective	Fouta-Djalon,territoire,environnement,occupation du sol,anthroposystème,modélisation systémique,prospective territoriale	Diallo Alpha Issaga Pallé,Baudouin Yves,Raymond Michel	2014-05-05		TRUE	Fouta-Djalon	GN	GN		CA	
26283	« La mauvaise réputation ». Distance aux ZUS et prix de l’immobilier : application d’un modèle hédonique à six intercommunalités franciliennes	“The bad reputation”. Do the prices of real estate decrease near the ZUS: evaluation by an hedonic pricing model applied on six intercommunalities of Île-de-France	distance-effect,urban policies,real estate valorization,Hedonics pricing,areas of deprivation	effet-distance,géographie prioritaire,valorisation immobilière,prix hédoniques,zones urbaines sensibles	Desponds Didier,Bergel Pierre	2014-04-16	fr	TRUE	Ile-de-France	FR	FR			
26277	Les spatialités dans l’œuvre d’Hannah Arendt		Arendt,space,spatiality,politics,identity	Arendt,espace,spatialité,politique,identité	Debarbieux Bernard	2014-04-02	fr	FALSE			CH			
26263	Des données géographiques à la simulation à base d’agents : application de la plate-forme GAMA	From Geographical data to agent-based simulation: application of the GAMA platform	Agent-based simulation,Modeling platform,Geographical data,3D environment	Simulation à base d’agents,Plate-forme de modélisation,Données géographiques,Environnement 3D	Taillandier Patrick,Grignard Arnaud,Gaudou Benoit,Drogoul Alexis	2014-03-29	fr	TRUE			FR			
26250	Qualifier les espaces urbains à Dakar, Sénégal		Urban vulnerability,remote sensing,census,GIS,Dakar metropolitean area	Pauvreté urbaine,télédétection,recensement,SIG,l’agglomération Dakaroise	Borderon Marion,Oliveau Sébastien,Machault Vanessa,Vignolles Cécile,Lacaux Jean-Pierre,N’Donky Alphousseyni	2014-03-27	fr	FALSE	Dakar	SN	FR		SN	
26246	Territoire, identité et gouvernance : quelle équation pour un développement durable ?	Territory, identity and governance: which equation for a sustainable development?	governance,participatory democracy,sustainable development,territory,identity	gouvernance,démocratie participative,développement durable,territoire,identité	Muis Anne-Solange	2014-03-01	fr	TRUE			FR			
26224	Impact de l’artificialisation sur les ressources en sol et les milieux en France métropolitaine	Impact of artificialization on soils and their environments in the metropolitan French territory. Evaluation by three independent databases	artificialization,Corine land cover,geographical information system,Insee,soils,urbanization,TERUTI land use survey,urban delineations	artificialisation,Corine land cover,Insee,système d’information géographique,sols,TERUTI,utilisation du sol,zonage en aires urbaines	Chéry Philippe,Lee Alexandre,Commagnac Loïc,Thomas-Chery Anne-Laure,Jalabert Stéphanie,Slak Marie-Françoise	2014-02-28	fr	TRUE		FR	FR			
26194	La géoprospective – Apport de la dimension spatiale aux démarches prospectives	The geoprospective - Contributions of the spatial dimension to prospective studies	Prospective,scenarios,models,spatial,geography	Prospective,scénarios,modèles,spatial,géographie	Houet Thomas,Gourmelon Françoise	2014-02-08	fr	TRUE			FR			
26174	Patrimonialisation et (re)valorisation touristiques dans la métropole d’eThekwini (KwaZulu-Natal, Afrique du Sud) : à la croisée des enjeux politiques et économiques	Heritage and promotion of tourism in the eThekwini metropolitan area (KwaZulu-Natal, South Africa): at the crossroad of political and economical issues	KwaZulu-Natal,eThekwini,tourism practice,tourist client,cultural celebration,heritage,regeneration,revitalization	KwaZulu-Natal,eThekwini,pratique touristique,clientèle,célébration culturelle,patrimoine,réhabilitation,revitalisation	Folio Fabrice	2014-02-07	fr	TRUE	KwaZulu-Natal	ZA	FR			
26165	Racially Biased Policing and Neighbourhood Characteristics: A Case Study in Toronto, Canada		Race-and-place Profiling,Neighbourhood Characteristics,Police Stops,Toronto	Profilage race-habitat,caractéristiques des quartiers,contrôles de police,Toronto	Meng Yunliang	2014-02-06	en	FALSE	Toronto	CA	US			
26157	Du robinet au consommateur : qualité de l’eau potable dans le contexte domestique de l’agglomération de Khartoum, Soudan	From the tap to the mouth, drinking water quality in the domestic context in Khartoum, Sudan	drinking water,water quality,water management,human health,Khartoum	eau potable,qualité de l’eau,gestion de l’eau,santé,Khartoum	Lavie Emilie,El-Tayib Noha Hassan	2014-02-05	fr	TRUE	Khartoum	SD	FR		SD	
26092	Migrations, dynamiques agricoles et problèmes fonciers en Afrique subsaharienne : Le périmètre irrigué de Lagdo (Nord-Cameroun)	Migrations, agricultural dynamics and land problems in Subsaharian Africa: the case of the irrigated area of Lagdo (North Cameroon)	agricultural dynamic,migration,land problem,North-Cameroon	dynamique agricole,migration,Nord-Cameroun,p foncier	Mfewou Abdoulay	2013-12-20	fr	TRUE	Lagdo	CM	CM			
26146	Mobilité résidentielle et dynamique récente du peuplement urbain à Dakar (Sénégal)		spatial mobility,housing trajectories,urban change,Dakar	mobilités spatiales,trajectoires résidentielles,changement urbain,Dakar,Sénégal	Lessault David,Imbert Christophe	2013-12-17	fr	FALSE	Dakar	SN	FR			
26127	De l’empathie en géographie et d’un réseau de géographes : la Chine vue par Léon Metchnikoff, Élisée Reclus et François Turrettini	Empathy in Geography and a Geographers’ Network: China as seen by Léon Metchnikoff, Élisée Reclus and François Turrettini	Léon Metchnikoff,Élisée Reclus,François Turrettini,China,globalisation,migrations	Léon Metchnikoff,Élisée Reclus,François Turrettini,Chine,mondialisation,migrations	Ferretti Federico	2013-12-13	fr	TRUE		CN	CH	FR.RU.CH		
26118	La relation ville-fleuve-port dans les projets urbains : acteurs et instruments d’une reconnexion (Strasbourg, Lyon)	Urban planning projects in the river cities: the new relationships between city, river and port regarding interfaces	urban projects,planning,river cities,ports,waterfront	projets urbains,aménagement,friches,fleuve,port	Debrie Jean	2013-12-12	fr	TRUE	Strasbourg.Lyon	FR	FR			
