id	title	title_en	keywords_en	keywords_fr	authors	date	langue	translated
153	Paléohydrographie et archéologie de l'espace en pays tricastin : de l'archéologie aérienne à la télédetection satellitaire	Paleohydrography and archaeology in the Tricastin Region : From aeral archaeology to satellite remote sensing	remote sensing,photointerpretation,archaeology,antiquity,centuriation	télédétection,photo-interprétation,archéologie,Antiquité,centuriation	Tounsi Ibtissem,Jung Cécile,Berger Jean-François,Chouquer Gérard	1999-03-17	fr	true
168	Distribution of Online Cartographic Products in Australia		internet,GIS,cadastral databases,health,Victoria,Australia,data dissemination	internet,SIG,base de données,cadastre,santé,Victoria,Australie	Escobar Francisco J.,Polley Iestyn S.,Williamson Ian P.	2000-03-07	en	false
4133	La mobilisation contre Le Pen  entre les deux tours de l’élection présidentielle de 2002 : le sursaut et les fissures			élection,France,carte,présidence,politique	Bussi Michel,Colange Céline,Gosset Jean-Paul	2002-06-13	fr	false
194	Cognitive and cartographic representations : towards a comprehensive approach		bidimensional regression,cartographic comparison,Cognitive representation,sketch map,spatial cognition,spatial knowledge,spatial learning,survey technics,textual analysis	régression bi-dimensionnelle,comparaison de cartes,représentation cognitive,carte à main levée,cognition spatiale,apprentissage spatial,techniques d'enquête,analyse textuelle	Cauvin Colette	2002-01-15	en	false
213	La géographie dans les programmes scolaires en Europe 	Geography in the European School Programs	teaching geography,Europe	enseignement de la géographie,Europe	Chevalier Jean-Pierre	2000-03-15	fr	true
219	L'île mystérieuse - JULES VERNE - 1874 <br />HYDROGRAPHIE ET OROGRAPHIE. L'ÎLE EST-ELLE HABITÉE ?<br />BAPTÊME DES BAIES, CAPS, GOLFES, RIVIÈRES...				TISSIER Jean-Louis	1996-04-25	fr	false
221	Information sur la Géographie Théorique et Quantitative en France 	Progresses in Theoretical and Quantitative Geography in France	theoretical and quantitative geography,spatial analysis	géographie théorique et quantitative,analyse spatiale	Pumain Denise,Rozenblat Céline,Mathian Hélène	1996-05-03	fr	true
227	The Intellectual Construction of &quot;Social Distance&quot;: Toward a Recovery of Georg Simmel’s Social Geometry				Ethington Philip J.	1997-09-16	en	false
5782	Once forgotten reefs… historical images in the scramble for the south china sea		South China Sea,China,Vietnam,Philippines,territorial conflict,territorial image,law of the sea,border	Mer de Chine du Sud,Chine,Vietnam,Philippines,conflit territorial,représentation territoriale,droit de la mer,frontière	Lasserre Frédéric	1999-04-22	en	false
4020	A field-based crop and land use map over Sanjiang plain in Heilongjiang derived from multi-temporal imagery of Landsat7-ETM+		CGMS,China,maximum Likelihood classification,per-field filter,post-classification,segmentation	CGMS,Chine,classification par maximum de probabilité,filtre par parcelle,post-classification,segmentation	Eerens Herman,Dong Qinghan,Ozer Pierre,Li Xiufen	2003-09-19	en	false
22410	Action culturelle éducative et politique de la ville	Cultural and educative action and urban policy	city,urban policy,education,urban geography,cultural geography,pedagogy,teenagers,arts	ville,politique de la ville,éducation,géographie urbaine,géographie culturelle,pédagogie,enfance,arts	Dumont Gérard-François	1999-02-10	fr	true
22447	OSIRIS-Multirisques : une méthode et un outil d’aide à la décision pour les communes soumises aux risques majeurs	OSIRIS-Multirisques: a method and decision support tool for localities exposed to major hazards	crisis preparation,decision support,Local Emergency Plan,multiple hazards	aide à la décision,multirisques,plan communal de sauvegarde,préparation de crise	Morel Gilles,Hissel François,Aunay Sylvain,Démotier Sabrina	2009-07-02	fr	true
4036	Qu'est-ce que le paysage dans la culture arabo-musulmane classique ?	What is landscape in the Muslim culture ?			Latiri Lamia	2001-10-16	fr	true
5284	Les géographes ont-ils quelque chose de spécifique à dire sur l´exclusion ?			Festival international de géographie,exclusion	Guermond Yves	1996-04-25	Fr	false
1796	Biographie et bibliographie de Pierre Deffontaines (1894-1978) 	Pierre Deffontaines' biography and bibliography	history of geography,biography	Pierre Deffontaines,biographie,histoire de la géographie	Delfosse Claire	2000-03-09	fr	true
274	Présentation du Programme Interdisciplinaire de Recherche sur la ville du CNRS					1996-04-16		false
275	Lines of sociological analysis of times policies in the city				Belloni Carmen	1996-04-12	en	false
277	Urban biodiversity: is there such a thing?				Clergeau Philippe	1996-04-12	en	false
279	L’information routière : quel effet sur le trafic ?				Cohen Simon	1996-04-12	fr	false
281	Mobility in Strasbourg form 1870 to 1940				Hahn Franz Joseph,Pinol Jean-Luc	1996-04-12	en	false
284	Cityrhythms				Henckel Dietrich	1996-04-12	en	false
6085	La densité a-t-elle une influence sur les comportements sociaux ? Des échelles territoriales différentes				Le Bras Hervé	1996-04-12	fr	false
286	Modélisation des tassements du sous-sol urbain				Kastner Richard	1996-04-12	fr	false
288	La densité a-t-elle une influence sur les comportements sociaux ? Des échelles territoriales différentes				Le Bras Hervé	1996-04-12	fr	false
6736	Qualité de l’offre et usage du transport public en milieu urbain	Quality of the supply and use of the public transportation in urban areas	bus transportation supply,modal choice,modal efficiency,urban mobility	choix modal,efficacité modale,mobilité urbaine,offre de transport en commun	Genre-Grandpierre Cyrille	2007-06-05	fr	true
22918	Logiques d’affectation des professeurs des écoles néotitulaires dans le Nord	Process of job allocation for primary school teachers beginners in north of France	beginner,IUFM,mobility,North of France,primary school teacher	IUFM,mobilité,néotitulaire,Nord,professeur des écoles	Leroux Xavier	2010-02-10	fr	true
290	Psychotropic drug use : its social and geographical context				Le Moigne Philippe	1996-04-12	en	false
292	Urban rain water drainage networks				Miramond Marcel	1996-04-12	fr	false
294	Perceived density : how apartment dwellers view their surroundings				Moch Annie,Bordas Florence,Hermand Danièle	1996-04-12	en	false
298	Comprendre le passé : une condition essentille pour la reconstruction des villes de l’après-apartheid et la compensation des victimes				Parnell Susan,Crankshaw Owen	1996-04-12	fr	false
301	Des densités aux rugosités. Les modalités instrumentales d’une transposition				Peneau Jean-Pierre	1996-04-12	fr	false
303	Vivre et survivre au bord des villes				Péraldi Michel	1996-04-12	fr	false
305	Managing megacities				Prud'homme Rémy	1996-04-12	en	false
307	Voir et se mouvoir en marchant dans la ville				Relieu Marc	1996-04-12	fr	false
309	Ville et santé publique au Japon				Takehito Takano	1996-04-12	fr	false
330	New Models explaining regional Evolution in Europe. Contributions to an international conference in honour of Professor J.H.P. Paelinck Tinbergen Institute, Rotterdam, June 16-17, 1995. Introduction				Derycke Pierre-Henri,Mignolet Michel	1998-02-02	en	false
333	The Region : A basic Concept for understanding local Areas and Global Systems		region,historical region,functional region,cultural area,regional development,region		Bailly Antoine S.	1998-02-02	en	false
341	Some Thoughts on Regional Science Models and Their Potential Uses in New Europe				Chatterji Manas	1998-02-06	en	false
5995	Vulnérabilité et transport de matières dangereuses :une méthode d’aide à la décision issue de l’expertise de la Sécurité Civile	Vulnerability and transport of dangerous goods :a decision help method coming from the Civil Security assessment	crisis management,decision help,GIS,multi-criteria method,sensitivity,technological risk,transport of dangerous goods	aide à la décision,gestion de crise,méthode multicritère,risque technologique,SIG,transport de matières dangereuses,vulnérabilité	Griot Chloé	2007-01-12	fr	true
343	On some methodological and theoretical Aspects of regional Growth modelling in the Work of Jean Paelinck		regional modelling,causality,evolutionnism,shift-share analysis,FLEUR model	modélisation régionale,causalité,evolutionnisme,analyse shift-share,modèle FLEUR	Derycke Pierre-Henri	1998-02-05	en	false
346	Regional Transitions and Noise				Isard Walter,Lobo José	1998-02-26	en	false
1590	Conceptual modelling of the interaction between transportation, land use and the environment as a tool for selecting sustainability indicators of urban mobility.		urban sustainability,sustainable urban mobility,urban sustainability indicator,conceptual framework,causal scheme,conceptual modelling,cognitive mapping	durabilité urbaine,mobilité urbaine durable,indicateur de durabilité urbaine,cadre conceptuel,schéma causal,modélisation conceptuelle,représentation cognitive	Fusco Giovanni	2002-03-21	en	false
349	Innovative Milieu and regional Development				Guesnier Bernard	1998-02-26	en	false
1671	Deriving supply-side variables to extend geodemographic classification		Geodemographics,labour market,interaction	géodémographie,emploi,interaction	Debenham James,Clarke Graham,Stillwell John	2002-09-18	en	false
351	An Economic Analysis of the Transferable Development Rights 				Sakashita Noboru	1998-03-05	en	false
353	Business location and optimality in France and in Europe				Sallez Alain	1998-03-13	En	false
356	Intervention de Mr. Christopher Board				Board Christopher	1997-12-12	fr	false
373	Space-time Contraction and the Dynamics of Urban Systems		Europe,space-time contraction,urban system,urbanisation		Bretagnolle Anne,Pumain Denise,Rozenblat Céline	1998-07-10	en	false
385	Provincial-level spatial statistical modelling of the change in per capita disposable Family Income in Spain, 1975-1983		spatial autocorrelation,space-time,Jacobian approximation,eigenfunction,Spain,income		Griffith Daniel A.	1998-02-20	en	false
393	The multinational companies cost of capital and regional policy : tax cut or capital grant ?		cost of capital,effective tax rate,income from capital,multinational company,open economy,regional policy assessment		Mignolet Michel	1998-03-13	en	false
6785	The emergence of a “City of Cages” in Lima : neighbourhood appropriation in the context of rising insecurities		gated communities,residential enclaves,Latin America,Lima,spatial control,state failure,fortification,insecurity,social inequalities,urban structure		Plöger Jörg	2007-06-05	en	false
7058	Géocriminologie, quand la cartographie permet aux géographes d’investir la criminologie	Geocriminology, when cartography allows geographers to intrust criminology	Geocrimonology,crime and delinquency,security/safety,spatial analysis,geographical information system	géocriminologie,délinquance,sûreté/sécurité,analyse spatiale,système d'information géographique	Cunty Claire,Fussy Fabrice,Perez Pascale	2007-06-08	fr	true
1643	Une école pour des universitaires placés aux marges de l’expertise : les années trente et la cartographie géographique 	A school for academic as unusual experts : the 1930s and mapping in geography		sémiologie graphique	Robic Marie-Claire	2000-11-17	fr	true
1644	From individual statements to market maps : a geomarketing approach to public transport Planning		generalised additive models,geomarketing,spatial generalisation,stated preference,travel behaviours,urban public transport	analyse spatiale,enquêtes de préférences suscitées,géomarketing,transport public	Banos Arnaud	2002-07-25	en	false
490	Le développement de la graphique de 1967 à 1997	Graphic science developments from 1967 to 1997		sémiologie graphique	Bonin Serge	2000-11-17	fr	true
493	La sémiologie graphique à l’épreuve du froid. L’introduction de la sémiologie graphique en Norvège. Réflexion d’un acteur	Graphic semiology towards coldness : a producer view point in Norway		sémiologie graphique	Baudouin Axel	2000-11-17	fr	true
497	L'apport de la sémiologie graphique de Jacques Bertin a la cartographie pour l’aménagement et l'urbanisme	Cartography in urban and regional planning : what brought the Jacques Bertin's graphic semiology to the discipline ?		sémiologie graphique	Steinberg Jean	2000-11-17	fr	true
499	Les défis théoriques posés à la cartographie mènent à la cognition	Theoretical challenge in cartography leads to cognition			Ferland Yaïves	2000-11-17	fr	true
501	Géographie et sémiologie graphique : deux regards différents sur l’espace	Geography and graphic semiology : two different ways towards space	graphic semiology	sémiologie graphique	Bord Jean-Paul	2000-11-17	fr	true
504	Données quantitatives ponctuelles et contraintes	Constraint quantitative point data	graphic semiology	sémiologie graphique	Beguin Michèle	2000-11-17	fr	true
506	Bertin, lexis and the graphical representation of event histories				Francis Brian,Pritchard John	2000-11-17	en	false
509	Dynamic visualization in a developing framework for the representation of geographic data<a class="endnotecall" id="bodyftn1" href="#ftn1">i</a>		graphic semiology	sémiologie graphique	Blok Connie	2000-11-17	en	false
1625	The third choice		graphic semiology	sémiologie graphique	Rød Jan Ketil	2000-11-17	en	false
1627	From households to urban structures: space representations as engine of dynamics in multi-agent simulations 		urban segregation,simulation,household,representation,multi-agent	ségrégation urbaine,simulation,ménage,représentation,multi-agents	Bonnefoy Jean-Luc	2003-01-31	en	false
515	Introduction				Orhan Jean-Marc	1997-12-12	fr	false
553	Colloque : 30 ans de sémiologie graphique					1997-12-12	fr	false
554	Aux sources de la sémiologie graphique	Where does semiology graphic comes from ?	Bertin (Jacques),cartography,France,graphical semiotic,XXth century	Bertin (Jacques),cartographie,France,sémiologie graphique,XXe siècle	Palsky Gilles,Robic Marie-Claire	2000-11-17	fr	true
560	A Fuzzy Set Approach to Using Linguistic Hedges in Geographical Information Systems				Brimicombe Allan	1998-12-08	en	false
563	Euroquant at 21 : “coming of age” ?				Unwin David	1999-11-17	en	false
566	Long-term dynamics of European towns and cities : towards a spatial model of urban growth 		urban system,urban growth,spatial convergence,self-organization theory	système urbain,croissance urbaine,espace-temps,théorie de l´auto-organisation	Bretagnolle Anne,Mathian Hélène,Pumain Denise,Rozenblat Céline	2000-03-29	en	false
591	Cartographie et intelligence artificielle				Pumain Denise	2005-11-15	fr	false
592	Jeux d’échelles, ou quand la quantité change la qualité				Pumain Denise	2004-12-12	fr	false
593	Les tentations de la bibliométrie : mesure et démesure				Pumain Denise	2004-09-12	fr	false
594	Du local au global, une géographie sans échelles ?				Pumain Denise	2003-09-12	fr	false
595	L'âge de raison				Pumain Denise	2003-05-12	fr	false
600	Le sacre du printemps				Pumain Denise	2002-03-12	fr	false
601	Prévoir et gérer le risque				Pumain Denise	2001-12-12	fr	false
589	La publication scientifique en ligne et le libre accès. Pourquoi tant de retard ?				Kosmopoulos Christine	2005-05-12	fr	false
596	Géographes attentifs au temps				Pumain Denise	2003-01-12	fr	false
598	La géographie au sommet				Pumain Denise	2002-08-30	fr	false
599	Le temps et l'espace. Des universaux dans la concurrence				Pumain Denise	2002-06-12	fr	false
602	Au milieu du monde : le centre et ses réseaux				Pumain Denise	2001-10-12	fr	false
603	Science et Patience				Pumain Denise	2001-06-12	fr	false
604	Chercher pour transmettre				Pumain Denise	2001-01-12	fr	false
605	Réinventer la géodiversité				Pumain Denise	1999-12-12	fr	false
606	Nouvelles de la rentrée				Pumain Denise	1999-10-12	fr	false
607	Eté, mode d'emploi				Pumain Denise	1999-07-12	fr	false
608	L'audience				Pumain Denise	1999-05-12	fr	false
609	Cybergeo et l'interactivité				Pumain Denise	1999-02-12	fr	false
610	Internet et la géographie				Pumain Denise	1998-07-12	fr	false
611	Faut-il supprimer la géographie ?				Pumain Denise	1998-05-12	fr	false
612	Editorial du 16 Juin 1997				Pumain Denise	1997-06-16	fr	false
920	Accès libre et qualité scientifique : les ressources de Cybergeo				Pumain Denise	2006-04-12	fr	false
614	Actes des journées. Télédétection en Sciences Humaines				Cuq François	2009-09-25		false
1679	Pratique des corrections atmosphériques en télédétection : utilisation du logiciel 5S-PC	Atmospherical corrections in remote sensing : using the 5S-PC software	remote sensing	télédétection	Kergomard Claude	2000-05-05	fr	true
618	Informations sur le projet Changement d’ Utilisation et de Couverture des Sols	Land-Use and Land-Cover Change : LUCC	remote sensing	télédétection	Podaire Alain	2000-05-05	fr	true
620	Evolution des zones humides d'Anatolie intérieure : exemple de la plaine de Konya, Turquie	Evolution of the Algöl lake (eastern part of the Konya plain)	remote sensing	télédétection	Kuzucuoglu Catherine,Servain Sylvie	2000-05-05	fr	true
623	Analyse de la mobilité des paysages et des systèmes sociaux en Thessalie : l’apport des images Landsat TM		remote sensing	télédétection	Helly Bernard,Salvador Pierre-Gil,Tamru Bezunesh,Fouache Éric	2000-05-05	fr	false
4811	Modélisation géomatique rétrospective des paysages par évaluation multicritères et multiobjectifs	Retrospective geomatic landscape modelling by multicritera evaluation and multiobjective evaluation	GIS,historic landscape,modelling,multi-objective evaluation,nulti-criteria evaluation	évaluation multicritères,évaluation multiobjectifs,modélisation,paysage historique,SIG	Olmedo María Teresa Camacho,Paegelow Martin,Martínez Pilar García	2007-03-09	fr	true
4825	Distributions fractales des Pistes de Ski et des Remontées Mécaniques.Exemple de la station de Serre Chevalier	Fractal distribution of Ski lifts and Ski slopes. Example of the Serre Chevalier resort	complexity,fractals,ski lifts,ski resort,ski slopes	complexité,fractales,pistes de ski,remontées mécaniques	Brissaud Ivan	2007-03-09	fr	true
635	Paléohydrographie et archéologie de l’espace rural en pays tricastin (France, Drôme) : de l’archéologie aérienne à la télédétection satellitaire		remote sensing	télédétection	Tounsi Ibtissem,Favory François,Berger Jean-François,Chouquer Gérard,Jung Cécile,Odiot Thierry	2000-05-05	fr	false
638	La Moyenne Vallée de l’Euphrate syrien : étude préliminaire pour la cartographie des états de surface et des systèmes de drainage en vue d’une analyse paléoenvironnementale	The Syrian Euphrate middle valley : introduction to the cartography of surface state and draining in view of a paleoenvironmental analysis	remote sensing	télédétection	Tamru Bezunesh,Chataigner Ch.,Salvador Pierre-Gil	2000-05-05	fr	true
640	Milieux et sociétés sur les marges arides du croissant fertile : la télédétection et les S.I.G. au service d'une recherche géo-archéologique	Milieu and society on the arid fringe of the fertile cruscant : remote sensing and GIS for a geo-archeological study	remote sensing	télédétection	Debaine Françoise	2000-05-05	fr	true
642	Archéologie et télédétection : cartographie des paysages du site de Mahasthan (Bangladesh) d’après des données SPOT	Archeology and remote sensing : mapping the Mahastan landscapes, Bangladesh using Spot data	remote sensing	télédétection	Jacqueminet Christine,Salles Jean-François,Dalongeville Rémi,Dupuis Bernard,Pédoja3 Kévin	2000-04-27	fr	true
665	Structures et dynamiques forestières en milieu tempéré	Forest structures and dynamics in moderate climate	remote sensing	télédétection	Geroyannis Hélène,Gilg Jean-Paul,Julien-Laferrière B.,Hotyat Micheline,Godard Vincent,Simon Laurent	2000-05-05	fr	true
672	Mise en évidence d'indicateurs de la dynamique biogéographique en moyenne montagne pyrénéenne par analyses multicsalaire et multitemporelle de photographies aériennes et d'images satellitaires	Finding biogeographic dynamic pointer in Pyrénées middle mountain through multiscalar and multiperiod remote sensing use	remote sensing	télédétection	Selleron Gilles,Vidal Franck	2000-05-05	fr	true
675	 :	The remote sensing dimension in a cooperative research program on mountainside: cases in Ecuador, Rwanda and Viet-Nam	remote sensing	télédétection	Pouyllau Michel,Puythorac F.,Vergnes A.,Lagrée S.,Tu Dan Nguyen,Xuan Thu Ha Thi,Anh Tuan Luong,Amelot Xavier,Pouille Fabien	2000-05-05	fr	true
678	Histoires d'eau dans le bassin minier du Nord Pas-de-Calais, apports de la télédétection pour l'étude des relations Homme-Hydrosystème	Water in the coal basin of the Nord Pas-de-Calais : lessons from remote sensing use in the study of man-hydrosystem interactions	remote sensing	télédétection	Laganier Richard	2000-05-05	fr	true
692	tude dynamique de l’	A dynamic study of romano-byzantins settlements in North Syria : parcel and survey location	remote sensing	télédétection	Tate Georges,Bilgen Pierre,Gilg Jean-Paul	2000-05-05	fr	true
696	Classification neuronale des textures de milieux terrestres naturels en télédétection radar	Neuronal classification of natural space's textures using radar sensing	remote sensing	télédétection	Jeansoulin Robert,Mainguenaud Ph.	2000-05-05	fr	true
699	Mesure instantanée de la longueur de rotations agricoles au Népal et en Inde par la quantification intrapixellaire des surfaces couvertes	Instant measures of agricultural rotation duration in Nepal and India through covered surfaces' intrapixel numbering	remote sensing	télédétection	Blamont Denis,Raffy Marcel	2000-05-05	fr	true
702	Comparaison entre les caractéristiques de surface de la neige dans les Alpes, les données du satellite Landsat TM et un modèle de métamorphisme du manteau neigeux	Snow surface in the Alpes : Landsat use and a model for earth mantle metamorphism	remote sensing	télédétection	Dedieu Jean-Pierre,Fily M.,Durand Yves,Sergent C.	2000-04-26	fr	true
707	Etude par télédétection de la vallée de Samarcande	A study of the Samarcande valley using remote sensing	remote sensing	télédétection	Le Tourneau François-Michel,Gentelle Pierre	2000-05-05	fr	true
710	Constitution d'une base de données et visualisation 3D pour la recherche en archéologie et urbanisme à Samarcande	Archeological and urban research in Samarcande : Building a database and using 3D representation	remote sensing	télédétection	Coulais Jean-François	2000-05-05	fr	true
921	Free access and scientific quality: Cybergeo's resources				Pumain Denise	2006-04-12	en	false
922	Senecal G., Saint-Laurent D.(dir.), 2000, <em>Les espaces dégradés. Contraintes et conquêtes</em>, Presses de l´Université du Québec, 300 p.				Chevalier Jean-Pierre	2001-11-03	fr	false
727	Cartography and Artificial Intelligence				Pumain Denise	2005-11-12	en	false
728	Scientific publishing online,and the question of open access. Why such a long delay?				Kosmopoulos Christine	2005-05-12	en	false
729	A Game of Scales, or When Quantity Changes Quality				Pumain Denise	2004-12-12	en	false
730	The Temptations of Bibliometry: measure and excess				Pumain Denise	2004-09-12	en	false
716	Processus de croissance et limites urbaines	Growth process and urban limits	remote sensing	télédétection	Weber Christiane,Hirsch Jacky	2000-04-25	fr	true
719	la périphérie urbaine et les extensions de la ville de Beyrouth (Liban) : étude par traitement d'une image SPOT 	Beyrouth urban fringe and spatial extension : the use of Spot data	remote sensing	télédétection	Davie Michael F,Drouot Jean-Louis	2000-04-25	fr	true
722	L’apport des images satellitaires dans l’étude des dynamiques de l’occupation du sol des villes d’Amérique Latine	The use of remote sensing in land occupation dynamics' studies : the south-american cities' case	remote sensing	télédétection	Delavaud Anne Collin	2000-05-05	fr	true
731	From the Local to the Global, a Geography without Limits				Pumain Denise	2003-09-12	en	false
732	The Age of Reason				Pumain Denise	2003-05-12	en	false
733	Geographers paying attention to time				Pumain Denise	2003-01-12	en	false
734	Geography at the Summit				Pumain Denise	2002-08-12	en	false
735	Time and Space, Competing Universes				Pumain Denise	2002-06-12	en	false
737	Bourdin A., Lefeuvre M.-P., Mélé P.(dir.), 2006, <em>Les règles du jeu urbain. Entre droit et confiance</em>, Descartes &amp; Cie, Les Urbanités, Paris, 316 pages				Sabatier Bruno	2006-10-24	fr	false
739	Souami T., Verdeil E., 2006, <em>Concevoir et gérer les villes</em><em> - Milieux d'urbanistes du sud de la Méditerranée, </em>Economica, Anthropos, collection « Villes », 230 p.				Barthel Pierre Arnaud	2006-10-25	fr	false
741	Blais H., 2005, <em>Voyages au Grand Océan. Géographies du Pacifique et colonisation, 1815-1845</em>, Paris, Comité des travaux historiques et scientifiques, 352 p.				Robic Marie-Claire	2006-09-27	fr	false
742	Frolova M., 2006, <em>Les Paysages du Caucase. Invention d’une montagne</em>, Paris, Comité des travaux historiques et scientifiques, 206 p.				Robic Marie-Claire	2006-09-27	fr	false
853	Bouinot J., 2002, <em>La Ville Compétitive ; Les clés de la nouvelle gestion urbaine</em>. Paris, Economica, collection Gestion, 180 pages.				Pumain Denise	2002-08-28	fr	false
743	Wacquant L., 2006, <em>Parias urbains. Ghetto – Banlieues – Etat</em>, Paris, La Découverte, 332 p.				Blidon Marianne	2006-09-26	fr	false
745	Robic M.-C. (coord.), 2006,<em> Couvrir le monde. Un grand XX<sup>e</sup> siècle de géographie française</em>, Paris, ADPF-Ministère des Affaires étrangères, 229 pages.				Arrault Jean-Baptiste	2006-06-27	fr	false
748	Pierre G., 2004, <em>Agriculture dépendante et agriculture durable. La PAC et les plateaux du sud-est du Bassin parisien</em>, Paris, Publications de la Sorbonne, 328 p.				Calbérac Yann	2005-11-23	fr	false
750	Gravari-Barbas M. (dir.), 2005, <em>Habiter le patrimoine. Enjeux, approches, vécu</em>, Rennes, P.U.R., 618 p.				Blidon Marianne	2005-11-23	fr	false
751	Garat I., Pottier P., Guineberte Th., Jousseaume V., Madore F., 2005,<em> Nantes, De la belle endormie au nouvel Eden de l'Ouest</em>, Paris, Anthropos-Economica, collection Villes, 162 p.				Vielhescaze Camille	2005-11-22	fr	false
753	Berthelot J.-M.(dir), 2003, <em>Figures du texte scientifique</em>, Paris, PUF , 312 p.				Mendibil Didier	2005-11-21	fr	false
755	Heurley J., 2003, <em>L’Irlande</em>, Paris, PUF, coll. Que sais-je ?, 127 p.				Guérois Marianne	2005-08-11	fr	false
757	Berdoulay, V., da Costa Gomes P. C., Lolive J., 2004, <em>L’espace public à l’épreuve. Régressions et émergences</em>, Maison des Sciences de l’Homme d’Aquitaine, Pessac, 224 p.				Fleury Antoine	2005-09-27	fr	false
760	Moulinier L., Sallmann L., Verna C. et Weill-Parot N.(dir.), <em>La juste mesure. Quantifier, évaluer, mesurer, entre Orient et Occident (VIIIe-XVIIIe siècle)</em>, Saint-Denis, Presses Universitaires de Vincennes, Collection Temps et espaces, 2005, 205 pages.				Verdier Nicolas	2005-09-09	fr	false
762	Dubreuil V. (dir.), 2002,<em> Environnement et télédétection au Brésil</em>, Editions Presses Universitaires de Rennes				Cohen Marianne	2005-04-20	fr	false
764	Leitmotive, temps et contretemps de l’urbain. Les <em>Lectures de villes</em> de Marcel Roncayolo				Walter François	2005-04-12	fr	false
766	David BROOKS, 2000, <em>Les Bobos, Les bourgeois bohèmes </em>, trad. par M. Thirioux et A. Nabet, Paris, Florent Massot, coll. Le livre de poche, 314 p.				Clerval Anne	2005-03-17		false
768	Bethemont J., <em>La Méditerranée en partage, documentation photographique, dossier n° 8039</em>, Paris, La Documentation Française, 2004.				Palsky Gilles	2005-03-17	fr	false
777	VAN DUZER Chet, <em>Floating Islands. A global Bibliography</em>. With an Edition and Translation of G.C. Munz’s <em>Exercitatio academica de insulis natantibus</em> (1711), Los Altos Hills, Cantor Press, 2004, 404 p., 24 photos couleurs.				Chamussy Henri	2003-03-16		false
779	Courgeau D., 2004, <em>Du groupe à l’individu. Synthèse multi-niveau</em>, Paris, INED*.				Pumain Denise	2005-01-13	fr	false
780	Amar G., 2004, <em>Mobilités urbaines. Éloge de la diversité et devoir d’invention</em>. Paris, Édition de l’Aube. Collection Société et Territoire. Série Prospective du présent. 251 p.				Charpentier Angèle	2005-01-13	fr	false
782	José Omar Moncada Maya (dir), 2003, Geografía de la Ilustración (La géographie du siècle des Lumières). Instituto Unam Geografía.<br />« Themas selectos de geografía de México », 226 p.				Reynaud Laurence	2004-12-21		false
784	José Omar Moncada Maya, 2003, El nacimiento de una disciplina : la geografía au Mexique (siglos XVIe a XIXe (La naissance d’une discipline : la géographie au Mexique (du XVIe au XIXe siècles)). Instituto Unam Geografía. « Themas selectos de geografía de México ». 131 p.				Reynaud Laurence	2004-12-20		false
785	Le Roux A., 2003, Didactique de la géographie, Presses universitaires de Caen, 268 p.				Chevalier Jean-Pierre	2004-12-17		false
