"id","SCHID","title","title_en","keywords_en","keywords_fr","authors","date","langue","translated","DatePublication","Rubrique","Auteur","TypeDocument","Disponibilite","VisuTot","Visu07","Visu08","Visu09","Visu10","Visu11","Visu12","Visu13","Visu14","citedby","citing"
979,"8962954501059411426","Amirou R., 2000, Imaginaire du tourisme culturel, Paris, PUF.","","","",";Philippe , Bachimon","2000-06-08","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
593,"","Les tentations de la bibliométrie : mesure et démesure","","","",";Denise , Pumain","2004-09-12","fr","false","12-09-2004","Vie Scientifique Éditoriaux","Denise Pumain","Editorial","Texte intégral",670,64,200,176,46,54,37,44,49,NA,NA
591,"","Cartographie et intelligence artificielle","","","",";Denise , Pumain","2005-11-15","fr","false","15-11-2005","Vie Scientifique Éditoriaux","Denise Pumain","Editorial","Texte intégral",760,51,203,182,95,67,53,53,56,NA,NA
20103,"","Georgia on my mind .....","","","",";Bernard , Elissalde","2008-09-22","Fr","false","22-09-2008","Vie Scientifique Débats Des représentations en géopolitique","Bernard Elissalde","Article","Texte intégral",1279,0,471,311,157,96,96,88,60,NA,NA
18592,"7841555414323198880","Télédétections thermiques infrarouges des concentrations urbaines au Maroc","Recognition of Urban Areas in Morocco by Thermal Infrared Remote Sensing",";ségrégation socio spatiale;densité du bâti;Morocco;métropolisation;socio spatial segregations;Maroc;télédétection infrarouge thermique;metropolization;built density;Thermal remote sensin","télédétection infrarouge thermique,densité du bâti,ségrégation socio spatiale,métropolisation,Maroc",";Sébastien , Gadal","2008-05-15","fr","true","15-05-2008","Rubriques Cartographie, Imagerie, SIG 2008","Sébastien Gadal","Article","Texte intégral",12374,0,2119,3140,1663,1501,1417,1217,1317,1,5
17332,"15490879080726553951","Typologie mondiale des relations ville-port","World typology of city-port relationships",";monde;centrality;réticularité;port city;regionalisation;intermediacy;ville portuaire;centralité;nodality;nodalité;world;régionalisatio","centralité,monde,nodalité,régionalisation,réticularité,ville portuaire",";César , Ducruet","2008-03-27","fr","true","27-03-2008","Rubriques Espace, Société, Territoire 2008","César Ducruet","Article","Texte intégral",18328,0,2660,2781,1980,1880,2749,2809,3469,11,25
292,"","Urban rain water drainage networks","","","",";Marcel , Miramond","1996-04-12","fr","false","12-04-1996","Transversalités Dossiers 1996 Les Bonnes Feuilles du PIRVILLES","Marcel Miramond","Article","Texte intégral",1528,67,209,222,254,140,236,263,137,NA,NA
640,"","Milieux et sociétés sur les marges arides du croissant fertile : la télédétection et les S.I.G. au service d'une recherche géo-archéologique","Milieu and society on the arid fringe of the fertile cruscant : remote sensing and GIS for a geo-archeological study",";télédétection;remote sensin","télédétection",";Françoise , Debaine","2000-05-05","fr","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24787,"14496893494338490424","Urban Built Form Grows Critical","",";auto-organisation;développement urbain;self-organization;Modélisation;urban development;Modellin","développement urbain,auto-organisation,Modélisation",";Leonardo , Lima;Vinicius M. , Netto;Romulo , Krafta","2011-11-20","en","false","20-11-2011","Rubriques Systèmes, Modélisation, Géostatistiques 2011","Romulo KraftaVinicius M. NettoLeonardo Lima","Article","Texte intégral",1666,0,0,0,0,408,523,421,314,3,6
722,"6786335618953713390","L’apport des images satellitaires dans l’étude des dynamiques de l’occupation du sol des villes d’Amérique Latine","The use of remote sensing in land occupation dynamics' studies : the south-american cities' case",";télédétection;remote sensin","télédétection",";Anne Collin , Delavaud","2000-05-05","fr","true","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Anne Collin Delavaud","Article","Texte intégral",4314,302,727,771,595,476,563,467,413,0,0
5484,"","Le préfet de département entre politique globale et locale de l'eau : exemple de la limitation des usages 1","French local authority (préfet de département) between global and local policy of water : example of the limitation of the uses",";droit de l'environnement;articulation;global;autorité administrative;local;environmental law;local authorit","droit de l'environnement,global,local,articulation,autorité administrative",";Nadia , Belaidi","2006-06-15","fr","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15703,"5566597164543635971","Geographical Values, the Values of Geography","","","",";Denise , Pumain","2008-01-02","en","false","02-01-2008","Vie Scientifique Éditoriaux","Denise Pumain","Editorial","Texte intégral",2268,0,348,143,173,218,395,633,358,0,0
25946,"7192936767021599671","Ferretti F., 2012, Elisée Reclus. Lettres de prison et d’exil, Lardy, À la frontière, 159 p.","","","",";Lionel , Gauthier","2013-06-01","fr","false","01-06-2013","Vie Scientifique Revue de livres 2013","Lionel Gauthier","Compte-rendu","Texte intégral",852,0,0,0,0,0,0,756,96,0,0
16793,"","Typologie socio-électorale des principales villes françaises à la veille des élections municipales 2008","",";France;élections;election","élections,France",";Céline , Colange","2008-03-11","fr","false","11-03-2008","Vie Scientifique Débats Elections municipales 2008 France","Céline Colange","Article","Texte intégral",1358,0,482,335,182,139,81,86,53,NA,NA
26762,"","Monjaret A., Pugeault C. (dir.), 2014, Le sexe de l’enquête. Approches sociologiques et anthropologiques, Lyon, ENS éditions.","","","",";Marianne , Blidon","2015-02-19","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22762,"","Daudel Christian, 2008, Jean Demangeot : géographe de terrain, Paris, L'Harmattan, 350 p.","","","",";Denis , Wolff","2009-11-12","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5439,"8250701945158690257","Territoire et exclusion : des mots de l'Etat-providence et des maux de la société civile ","",";politique sociale;métropole;social polarisation;social integration;welfare policy;intégration sociale;urban society;social exclusion;urban segregation;exclusion sociale;ségrégation urbaine;residential segregation;espace urbain;société urbaine;post-industrial metropol","exclusion sociale,intégration sociale,ségrégation urbaine,politique sociale,métropole,espace urbain,société urbaine",";Catherine , Rhein","1997-10-24","fr","false","24-10-1997","Vie Scientifique Débats Exclusion, régression...la question des femmes","Catherine Rhein","Article","Texte intégral",1759,103,306,341,162,209,124,243,271,5,7
1575,"","Soil pollution in an urban area : a GIS approach","","","",";Jean-Pierre , Vapaille;Yves , Guermond;Daniel , Delahaye;Pierrich , Folligne;Renaud , Zambeaux","1998-03-19","en","false","19-03-1998","Transversalités Dossiers 1997 10th European Colloquium on Quantitative and Theoretical Geography. Rostock, Germany, September 6-11, 1997","Daniel DelahayePierrich FolligneYves GuermondJean-Pierre VapailleRenaud Zambeaux","Article","Texte intégral",9711,711,2404,2576,1159,1029,827,613,392,NA,NA
22918,"10871350001999694759","Logiques d’affectation des professeurs des écoles néotitulaires dans le Nord","Process of job allocation for primary school teachers beginners in north of France",";North of France;mobilité;professeur des écoles;IUFM;primary school teacher;Nord;néotitulaire;mobility;beginne","IUFM,mobilité,néotitulaire,Nord,professeur des écoles",";Xavier , Leroux","2010-02-10","fr","true","10-02-2010","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2010","Xavier Leroux","Annonce et actualité","Texte intégral",17605,0,0,0,3307,2464,2878,3872,5084,0,4
22339,"5831585120351210352","Martin de La Soudière, Lignes secondaires, Créaphis, 2008, 125 p.","","","",";André , Rauch","2009-05-20","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
26774,"9426045279417949835","Dynamique spatiale et usage des schorres de l’Anse de l’Aiguillon de 1705 à nos jours. Enjeux de conservation d’un patrimoine naturel littoral marin","Spatial dynamics and human-uses of the salt-marshes of the Anse de l’Aiguillon since 1705. Conservation stakes of a coastal natural heritage",";saltmarshes;nature conservation;littoral;cartography;historical geography;cartographie;conservation de la nature;Marais poitevin;prés salés;géographie historiqu","littoral,cartographie,géographie historique,conservation de la nature,Marais poitevin,prés salés",";Emmanuel , Joyeux;Fernand , Verger;Laurent , Godet;Laurent , Pourinet","2015-02-24","fr","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17
870,"10452945177610020203","McEwan C., 2000, Gender, geography and empire: Victorian women travellers in West Africa, Ashgate Publishing, Aldershot, 256 p.","","","",";Mechtild , Rössler","2002-05-21","en","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
25264,"6698018902174056282","Vers la disparition des brousses ? Analyse multi-scalaire de la dynamique des paysages à l’ouest du Burkina Faso depuis 1952","Is the end of the West African bush? Multi-scale analysis of landscape dynamics in Western of Burkina Faso since 1952",";spatial analysis;West Africa;Paysage;conservation;Landscape;agriculture;analyse spatiale;Afrique de l’ouest;protection de la natur","Paysage,analyse spatiale,protection de la nature,agriculture,Afrique de l’ouest",";Daniel , Delahaye;Sébastien , Caillault;Aziz , Ballouche","2012-04-10","","true","10-04-2012","Rubriques Environnement, Nature, Paysage 2012","Sébastien CaillaultAziz BalloucheDaniel Delahaye","Article","Texte intégral",2368,0,0,0,0,0,1042,590,736,3,20
841,"4166610093719884556","Dupuy G., 2002, Internet, géographie d'un réseau. Ellipses, coll. Carrefours, 160 p.","","","",";Denise , Pumain","2003-02-05","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
23402,"427110688238162735","Lieber M., 2008, Genre, violences et espaces publics. La vulnérabilité des femmes en question, Paris, Presses de Sciences-Po.","","","",";Elise , Olmedo","2010-12-09","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
26621,"12549443559144549272","Définir la France en géographie : des professeurs et des élèves au travail dans l’enseignement secondaire","What is France like in geography? Pupils and Teachers at work in secondary school",";géographie scolaire;didactics trials;didactique de la géographie;geography of France;school geography;iconography;épreuve didactique;geography didactics;iconographie;géographie de la Franc","géographie scolaire,géographie de la France,épreuve didactique,didactique de la géographie,iconographie",";Jean-François , Thémines;Anne-Laure , Le Guern","2014-12-21","fr","true","21-12-2014","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2014 Enseignement et didactique 2014","Jean-François ThéminesAnne-Laure Le Guern","Article","Texte intégral",761,0,0,0,0,0,0,0,761,0,22
2549,"10395990831169684398","La industria cultural en el mundo. Estructura, composición y distribución territorial de los grupos multimedia en España","The cultural industry in the world. Structure, composition and territorial distribution of the multimedia groups in Spain",";géographie économique;geografía económica;empresa;entreprise;enterprise;cultura;media;economic geography;cultur","culture,entreprise,géographie économique,media",";Agustín Gámir , Orueta","2004-08-23","es","true","23-08-2004","Rubriques Espace, Société, Territoire 2004","Agustín Gámir Orueta","Article","Texte intégral",23093,1557,4091,4238,2092,2400,3037,2992,2686,0,9
12443,"1951334589232400018","Configurations atmosphériques de vastes échelles spatiales et variabilité des surcotes dans le Golfe du Lion","Broad-scale atmospheric patterns and sea-surge variations in the Golfe du Lion",";Golfe du Lion.;surcote marine;weather regimes;pression atmosphérique;sea surge;atmospheric pressure;type de temps;Golfe du Lio","surcote marine,pression atmosphérique,type de temps,Golfe du Lion",";Albin , Ullmann;Vincent , Moron","2007-11-05","Fr","true","05-11-2007","Rubriques Environnement, Nature, Paysage 2008","Albin UllmannVincent Moron","Article","Texte intégral",2980,190,982,641,397,280,186,173,131,0,1
952,"4690251746164487263","Brunet R., 2003, Le diamant. Un monde en révolution. Paris, Belin, 416 p.","","","",";Jean-Louis , TISSIER","2004-02-20","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
22861,"","Desse R.-P., Fournié A., Gasnier A., Lemarchand N., Metton A. et Soumagne J. (dir.), 2008, Dictionnaire du commerce et de l’aménagement, Rennes, PUR, 357 p.","","","",";Antoine , Fleury","2009-12-22","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4375,"","Les Chinois d'outre-mer des Tchou à Deng Xiaoping : des origines historiques et géographiques d'un phénomène migratoire plus que millénaire","Chinese Overseas, From the Chou to Deng Xiaoping : Historical and Geographical Origins of a Migratorial Phenomenon Spanning Over a Millenium",";migration;syndicates and secret societies;triad;diaspora;trade;triades;Chinois d'outre-mer;Yueh;commerce;syndicats et sociétés secrètes;Chine;Coxinga;Sun Tzu;Confucianism;sea-going;Chinese Overseas;Cheng Ho;confucianisme;maritime;Chin","Cheng Ho,Chine,Chinois d'outre-mer,commerce,confucianisme,Coxinga,diaspora,maritime,migration,Sun Tzu,syndicats et sociétés secrètes,triades,Yueh",";Pierre-Arnaud , Chouvy","2000-03-03","fr","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22858,"",", Centro Nacional de Informacion Geografica, Madrid, 387 p.","","","",";Nicolas , Verdier","2009-12-17","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5399,"","Liste chronologique des principaux périodiques français de géographie ","",";France;journal;geography;géographie;revue","revues,géographie,France",";Bernadette , Joseph","1997-03-21","fr","false","21-03-1997","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1997","Bernadette Joseph","Article","Texte intégral",2597,225,575,510,234,319,224,283,227,NA,NA
23225,"","Les émissions de CO2 et autres gaz à effets de serre","",";mondialisation;globalization;protocole de Kyoto;géopolitique;Kyoto protocol;gaz à effet de serre;greenhouse gases;geopolitic","gaz à effet de serre,géopolitique,mondialisation,protocole de Kyoto",";François , Durand-Dastès","2010-07-20","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,"2680772703289253876","Classification neuronale des textures de milieux terrestres naturels en télédétection radar","Neuronal classification of natural space's textures using radar sensing",";télédétection;remote sensin","télédétection",";Robert , Jeansoulin;Ph. , Mainguenaud","2000-05-05","fr","true","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Robert JeansoulinPh. Mainguenaud","Article","Texte intégral",3242,182,611,928,497,287,247,248,242,0,1
23633,"1916496183712539496","Pinson G., 2009, Gouverner la ville par projet, urbanisme et gouvernance des villes européennes, Presses de Science Po, Paris, 418 p.","","","",";Maïté , Verdol","2011-05-04","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
22420,"15307835239789861955","Introduction au concept d’acte cybercartographique : genèse d’un atlas cybercartographique","Introducting the Concept of a Cybercartographic Act: The Creation of a Cybercartographic Atlas",";antarctic;cybercartography;antarctique;cybercartographie;photography;photographie;Internet;atla","antarctique,atlas,cybercartographie,Internet,photographie",";Peter , Pulsifer;Sébastien , Caquard;Jean-Pierre , Fiset;D. R. Fraser , Taylor","2007-07-19","fr","true","19-07-2007","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Sébastien CaquardPeter PulsiferJean-Pierre FisetD. R. Fraser Taylor","Article","Texte intégral",1360,0,0,141,246,234,185,246,308,1,12
490,"1470033040145024796","Le développement de la graphique de 1967 à 1997","Graphic science developments from 1967 to 1997",";sémiologie graphiqu","sémiologie graphique",";Serge , Bonin","2000-11-17","fr","true","17-11-2000","Transversalités Dossiers 1997 Colloque ""3O ans de sémiologie graphique""","Serge Bonin","Article","Texte intégral",1948,116,359,526,246,164,184,226,127,7,0
16283,"4521167975068893234","Is there a link between fractal dimension and residential environment at a regional level?","",";socio-economic indicators;built-up patterns;Wallonie;landscape quality;indicateurs socio-économiques;dimension fractale;Wallonia;tissus bâtis;Belgium;fractal dimension;Belgique;qualité paysagèr","dimension fractale,tissus bâtis,indicateurs socio-économiques,qualité paysagère,Wallonie,Belgique",";Pierre , Frankhauser;Cécile , Tannier;Isabelle , Thomas","2008-02-25","en","false","25-02-2008","Rubriques Systèmes, Modélisation, Géostatistiques 2008","Isabelle ThomasCécile TannierPierre Frankhauser","Article","Texte intégral",5242,0,850,1079,780,688,527,620,698,7,18
5079,"","Contribution théorique à la mesure de l'homogénéité des tissus urbains","How is it possible to measure the homogeneity of an intra-urban structure?","","",";Mindjid , Maïzia","1999-06-16","fr","true","16-06-1999","Transversalités Dossiers 1999 4èmes Rencontres de Théo Quant, Besançon, France 11-12 février 1999","Mindjid Maïzia","Article","Résumé",672,42,129,119,98,74,84,68,58,NA,NA
25385,"2051867956673341842","Les hommes qui voulaient être rois II. Sociologie des États privés","",";État;State;souveraineté;gouvernement;représentations;private State;sovereignty;representations;micronation;government;Internet;État priv","État,État privé,gouvernement,Internet,micronation,représentations,souveraineté",";Frédéric , Lasserre","2012-07-12","fr","false","12-07-2012","Rubriques Espace, Société, Territoire 2012","Frédéric Lasserre","Article","Texte intégral",4713,0,0,0,0,0,1280,1638,1795,0,12
26498,"","¿Quiénes somos?","","","","","2015-04-01","es","false","09-07-2015","La Revue","","Informations pratiques","Texte intégral",42,0,0,0,0,0,0,0,42,NA,NA
25285,"7820654797362893989","La borréliose de Lyme : un risque sanitaire émergent dans les forêts franciliennes ?","Is Lyme borreliosis an emerging health risk in the forests of Ile-de-France?",";France;vulnérabilité;health risk;émergence;suburban;Lyme borreliosis;périurbain;forest of Sénart;forêt de Sénart;vulnerability;risque sanitaire;borréliose de Lyme;emergenc","émergence,risque sanitaire,forêt de Sénart,périurbain,borréliose de Lyme,vulnérabilité,France",";Christelle , Méha;Hedi , Haddad;Bernard , Moulin;Vincent , Godard","2012-04-20","","true","20-04-2012","Rubriques Environnement, Nature, Paysage 2012","Christelle MéhaVincent GodardBernard MoulinHedi Haddad","Article","Texte intégral",10192,0,0,0,0,0,3006,2990,4196,1,32
25423,"17785371142744855762","Démarche géo-prospective et modélisation causale probabiliste","Spatial Strategic Foresight and Probabilistic Causal Modelling",";decision graphs;French riviera metropolitan area;Bayesian networks;spatial strategic foresight;métropole azuréenne;géo-prospective territoriale;probabilistic causal modelling;modélisation causale probabiliste;scenario building;graphes de décision;construction de scénarios;réseaux Bayésien","géo-prospective territoriale,modélisation causale probabiliste,réseaux Bayésiens,graphes de décision,construction de scénarios,métropole azuréenne",";Giovanni , Fusco","2012-07-20","fr","true","20-07-2012","Rubriques Systèmes, Modélisation, Géostatistiques 2012","Giovanni Fusco","Article","Texte intégral",3735,0,0,0,0,0,1064,1280,1391,6,16
847,"14922517924686068609","Driver F., 2001, Geography Militant. Cultures of Exploration and Empire, Oxford, Blackwell Publishers, 258 p.","","","",";Jean-Marc , Besse","2002-11-04","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
6407,"","Atlas of South India - 1991","",";demography;démographie;Inde;India;atla","atlas,Inde,démographie",";Sébastien , Oliveau","2005-03-26","en","false","26-03-2005","Transversalités Dossiers 2005-2002 Digital Atlas of South India","Sébastien Oliveau","Article","Texte intégral",1013,152,226,211,124,81,54,64,101,NA,NA
22214,"2582745968531989864","Popularising geography in France’s second city: The rôle of the Société de Géographie de Lyon, 1873-1968","",";geographical knowledge;history of geography;Lyon;colonization;savoir géographique;histoire de géographie;colonisatio","colonisation,histoire de géographie,Lyon,savoir géographique",";Hugh , Clout","2009-04-27","en","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28
145,"8516849664134525117","Interpolation de données ponctuelles","","","",";Patrice , Langlois","1996-06-05","fr","false","05-06-1996","Rubriques Cartographie, Imagerie, SIG 1996","Patrice Langlois","Article","Texte intégral",2936,222,602,634,425,306,254,275,218,0,0
845,"13231756017417926064","Zeneidi-Henry Djemila, 2002, Les SDF et la ville. Géographie du savoir-survivre, Paris, éditions Bréal, collection D'autre Part.","","","",";Maryse , Marpsat","2003-01-14","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3733,"6568652752834052302","From the observations to the construction of a urban dynamics simulation model : an inductive approach","",";synergetic;fuzzy sets;location choice;intra-urban modelling;synergétique;choix de localisation;sous-ensembles flous;modélisation intra-urbaine;micro-simulatio","choix de localisation,micro-simulation,modélisation intra-urbaine,sous-ensembles flous,synergétique",";Pierre , Frankhauser;Cécile , Tannier","2001-04-26","en","false","26-04-2001","Rubriques Systèmes, Modélisation, Géostatistiques 2001","Cécile TannierPierre Frankhauser","Article","Texte intégral",1504,53,181,231,370,345,141,77,106,10,0
877,"840139259079324135","Domenach H., Picouet M. (dir), Population et environnement, 2000, Paris, PUF, Que Sais-Je ?","","","",";Catherine , Rhein","2002-03-06","fr","false",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
26250,"","Qualifier les espaces urbains à Dakar, Sénégal","",";census;l’agglomération Dakaroise;Urban vulnerability;recensement;Dakar metropolitean area;GIS;SIG;télédétection;Pauvreté urbaine;remote sensin","Pauvreté urbaine,télédétection,recensement,SIG,l’agglomération Dakaroise",";Alphousseyni , N’Donky;Jean-Pierre , Lacaux;Vanessa , Machault;Cécile , Vignolles;Marion , Borderon;Sébastien , Oliveau","2014-03-27","fr","false","27-03-2014","Rubriques Cartographie, Imagerie, SIG 2014","Marion BorderonSébastien OliveauVanessa MachaultCécile VignollesJean-Pierre LacauxAlphousseyni N’Donky","Article","Texte intégral",1458,0,0,0,0,0,0,0,1458,NA,NA
26495,"5654362662439405497","The challenge of Open Access","","","",";Denise , Pumain","2014-10-21","en","false","21-10-2014","Vie Scientifique Éditoriaux","Denise Pumain","Editorial","Texte intégral",80,0,0,0,0,0,0,0,80,0,0
26070,"5106954337079478907","Frankhauser P., Ansel D. (dir.), 2012, La décision d’habiter ici ou ailleurs, Paris, Economica-Anthropos, Collection Villes, 383 p.","","","",";Gabriel , Dupuy","2013-11-22","fr","false","22-11-2013","Vie Scientifique Revue de livres 2013","Gabriel Dupuy","Compte-rendu","Texte intégral",519,0,0,0,0,0,0,256,263,0,0
26055,"13374826065191667078","Berti D., Tarabout G. (eds), 2009, Territory, Soil and Society in South Asia, New Delhi, Manohar, 379 p.","Berti D., Tarabout G. (eds), 2009, Territory, Soil and Society in South Asia, New Delhi, Manohar, 379 p.","","",";Pierre-Yves , Trouillet","2013-09-16","fr","true","16-09-2013","Vie Scientifique Revue de livres 2013","Pierre-Yves Trouillet","Compte-rendu","Texte intégral",835,0,0,0,0,0,0,636,199,0,0
19683,"4795716712207596441","La mesure de l’urbanisation aux Etats-Unis, des premiers comptoirs coloniaux aux Metropolitan Areas (1790-2000)","Measuring urbanization in United States, from the first trading post to the Metropolitan Areas (1790-2000)",";United States;Etats-Unis;data base model;urbanisation 19e-20e siècles;19th and 20th urbanization;modèle de données;aires fonctionnelles;urban concentration;urban delineations;croissance urbaine;SIG;municipalités;urban growth;agglomerations;hiérarchisation;agglomérations;délimitation urbaine;space-time referential;metropolitan areas;référentiel espace-temps;cities and town","délimitation urbaine,municipalités,agglomérations,aires fonctionnelles,référentiel espace-temps,modèle de données,SIG,urbanisation 19e-20e siècles,croissance urbaine,hiérarchisation,Etats-Unis",";Anne , Bretagnolle;Hélène , Mathian;Timothée , Giraud","2008-07-10","fr","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,15
3520,"3460133745660758914","L'héritage d'Henri Baulig (1877-1962) éléments biographiques, bibliographie complète, inventaire des notes manuscrites ","Heritage of Henri Baulig (1877-1962) biographical issues, complete bibliographical elements, handwritings inventory",";university;manuscrit;histoire de la géographie;géomorphologie;biography;bibliography;bibliographie;history;Strasbourg;université;biographie;Baulig;geomorphology;handwritin","Baulig,géomorphologie,biographie,bibliographie,manuscrit,Strasbourg,université,histoire de la géographie",";Christophe , Masutti","2002-11-22","fr","true","22-11-2002","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2002","Christophe Masutti","Article","Texte intégral",3319,285,730,619,418,382,309,267,309,2,0
