"","UNIQID","Title","DatePublication","Rubrique","Auteur","TypeDocument","Disponibilite","VisuTot","Visu07","Visu08","Visu09","Visu10","Visu11","Visu12","Visu13","Visu14"
"23","T0023","Qui sommes-nous ?","09-07-2015","La Revue","","Informations pratiques","Texte intégral",15442,917,2490,2156,1721,1594,2176,2250,2138
"24","T0024","Revue des sommaires/Journal Reviews","24-04-2007","Actualités et sites Revue de sommaires","","Article","Texte intégral",6120,907,1808,1304,901,554,517,129,0
"25","T0025","La ville, le fait urbain dans les programmes de géographie du cycle III de l’école élémentaire (1882-2002)","10-12-2003","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2003","Anne Bouchut","Article","Texte intégral",8764,899,2600,2483,945,619,482,374,362
"26","T0026","La multiplicité des échelles dans l’analyse d’un phénomène d’interface nature/société.L’exemple des feux de brousse en Afrique de l’ouest","08-03-2007","Rubriques Environnement, Nature, Paysage 2007","Hélène Dolidon","Article","Texte intégral",9324,887,1784,1411,1157,868,925,976,1316
"27","T0027","Un modèle gravitaire géoéconomique des échanges commerciaux entre les pays de l’U.E., les PECO et les PTM","12-03-2003","Rubriques Systèmes, Modélisation, Géostatistiques 2003","Didier JosselinBernadette Nicot","Article","Texte intégral",13286,872,2420,2355,1654,1250,1813,1549,1373
"28","T0028","Une ville dans la forêt : São Gabriel da Cachoeira, capitale isolée du haut Rio Negro","24-03-2005","Rubriques Espace, Société, Territoire 2005","Ludivine EloyFrançois-Michel Le TourneauHervé Théry","Article","Texte intégral",7561,858,1846,1113,786,709,687,777,785
"29","T0029","Thèses de géographie soutenues en France de 1872 à 1972","21-03-1997","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1997","Anne-Marie BriendBernadette Joseph","Article","Texte intégral",7629,855,2005,1685,1148,870,447,347,272
"30","T0030","Fractals in urban geography : a theoretical outline and an empirical example","20-04-2005","Rubriques Systèmes, Modélisation, Géostatistiques 2005","Cécile TannierDenise Pumain","Article","Texte intégral",15408,828,2695,2807,2282,1916,1643,1621,1616
"31","T0031","La réception du modèle graphique de Burgess dans la géographie française des années cinquante aux années soixante-dix","22-05-1998","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1998","Pascal ClercJacquemine Garel","Article","Texte intégral",23459,822,2896,2772,2382,2846,3868,3689,4184
"32","T0032","La mosaïque politique de la France : 15 cartes par canton pour comprendre les élections présidentielles 2002","29-04-2002","Vie Scientifique Débats Elections présidentielles 2002 en France","Michel BussiPascal BuléonCéline ColangeJean-Paul GossetJérome FourquetSylviano Freire-Diaz","Article","Texte intégral",10861,820,3192,2607,981,820,1640,436,365
"33","T0033","Le Bassin parisien. Une région métropolitaine","15-04-2005","Rubriques Espace, Société, Territoire 2005","Frédéric Gilli","Article","Texte intégral",22448,807,2536,2988,1832,2982,2817,3830,4656
"34","T0034","The use of Remote Sensing Technology in geological Investigation and mineral Detection in El Azraq-Jordan","23-10-2006","Rubriques Systèmes, Modélisation, Géostatistiques 2006","Samih Al RawashdehBassam SalehMufeed Hamzah","Article","Texte intégral",26134,799,2134,4481,2333,2286,3925,5110,5066
"35","T0035","Le projet scientifique","01-07-2015","La Revue","","Informations pratiques","Texte intégral",13803,796,2180,1878,1375,1451,2197,2208,1718
"36","T0036","Note aux auteurs","01-07-2015","La Revue","","Informations pratiques","Texte intégral",22985,791,2306,2545,2696,4059,3666,3750,3172
"37","T0037","Hypothèses sur l’évolution de la végétation littorale des Petites Antilles depuis  l'époque précolombienne : le cas de la Martinique","29-05-2006","Rubriques Environnement, Nature, Paysage 2006","Philippe Joseph","Article","Texte intégral",10108,787,2196,1719,1289,1219,1144,944,810
"38","T0038","La frontière roumano-ukrainienne et le poids réel de la question des minorités","23-02-2005","Rubriques Espace, Société, Territoire 2005","Frédéric Beaumont","Article","Texte intégral",11606,785,1912,1692,981,888,1088,986,3274
"39","T0039","Le deuxième recensement de la population de l’Afrique du Sud post-apartheid","23-06-2004","Rubriques Espace, Société, Territoire 2004","Céline Vacchiani-Marcuzzo","Article","Texte intégral",9917,781,2061,1494,861,652,719,1501,1848
"40","T0040","Le système urbain tunisien. Analyse hiérarchique démo-fonctionnelle sur la base de la loi Rang-taille","09-02-2004","Rubriques Espace, Société, Territoire 2004","Amor Belhedi","Article","Texte intégral",11810,756,2170,1930,1321,1117,1626,1849,1041
"41","T0041","Un voyage de Paul Vidal de la Blache en Espagne dans la huerta de Valence (1906)","13-10-2006","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2006","Roland Courtot","Article","Texte intégral",13794,754,2411,1766,1972,3088,784,969,2050
"42","T0042","Internet : La fin de la géographie ?","31-10-2000","Vie Scientifique Débats Internet et la géographie","Frédéric Lasserre","Article","Texte intégral",10797,747,1746,1379,828,905,1668,1544,1980
"43","T0043","Transformations urbaines : l'influence des politiques municipales d’aménagementL'exemple de Boulogne-Billancourt et d'Issy-les-Moulineaux","27-10-1999","Rubriques Aménagement, Urbanisme 1999","Marie Burkart","Article","Texte intégral",10119,731,2105,1692,1286,979,970,1159,1197
"44","T0044","Potentialités de l’imagerie satellitaire Spot 5 pour la cartographie de la végétation  terrestre","09-11-2005","Rubriques Cartographie, Imagerie, SIG 2005","Françoise GourmelonFrédéric BioretLaure Sauve","Article","Texte intégral",7755,714,1630,1387,1002,861,774,754,633
"45","T0045","Soil pollution in an urban area : a GIS approach","19-03-1998","Transversalités Dossiers 1997 10th European Colloquium on Quantitative and Theoretical Geography. Rostock, Germany, September 6-11, 1997","Daniel DelahayePierrich FolligneYves GuermondJean-Pierre VapailleRenaud Zambeaux","Article","Texte intégral",9711,711,2404,2576,1159,1029,827,613,392
"46","T0046","Propositions méthodologiques pour l’amélioration automatique des contrastes de couleur - application aux cartes de risque","14-11-2006","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Elisabeth Chesneau","Article","Texte intégral",9604,707,2021,1746,1167,1094,691,1068,1110
"47","T0047","Effets spatiaux et effets réseau dans l’évaluation d’indicateurs sur les nœuds d’un réseau d’infrastructure","15-04-2007","Rubriques Systèmes, Modélisation, Géostatistiques 2007","Jean-François Gleyze","Article","Texte intégral",5896,691,786,801,768,681,620,691,858
"48","T0048","Les nuits tananariviennes : citadinités et marginalités en construction","28-06-2006","Rubriques Politique, Culture, Représentations 2006","Marie MorelleCatherine Fournet-Guérin","Article","Texte intégral",10478,691,1448,1265,1154,1625,1890,1182,1223
"49","T0049","La criminalité à Maputo, Mozambique : origine, distribution et répercussions spatiales","02-07-2007","Rubriques Espace, Société, Territoire 2007","Fabrice Folio","Article","Texte intégral",9413,689,1698,1121,703,576,712,1698,2216
"50","T0050","Le Burkina Faso, un producteur de coton face à la mondialisation et à la dépendance économique. Regard sur un Sud","18-01-2007","Vie Scientifique Débats Mondialisation et pays du sud","Valérie Hauchart","Article","Texte intégral",19447,687,1951,2129,1203,1725,2984,4511,4257
"51","T0051","Choluteca : ville hondurienne du système Monde ?","22-06-2007","Rubriques Espace, Société, Territoire 2007","Sébastien Hardy","Article","Texte intégral",5262,674,1036,886,583,491,628,584,380
"52","T0052","Sous la page, la qualité ! et les nouveautés…","31-05-2007","Vie Scientifique Éditoriaux","Denise PumainChristine Kosmopoulos","Editorial","Texte intégral",1273,670,180,155,76,54,43,62,33
"53","T0053","Six géographes en quête d’engagement : du communisme à l’aménagement du territoire. Essai sur une génération","27-06-2006","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2006","Claude Bataillon","Article","Texte intégral",6369,666,1168,824,670,517,897,816,811
"54","T0054","Les représentations sociales du paysage comme outils de connaissance préalable à l'action. L'exemple des Alpes du nord","03-05-2005","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2005","Emmanuel Guisepelli","Article","Texte intégral",8011,655,1708,1388,956,779,860,919,746
"55","T0055","Bengladesh ou Medina ? Espaces urbains périphériques et représentations : deux exemples à Annaba et à Guelma (Algérie)","25-11-2005","Rubriques Aménagement, Urbanisme 2005","Nadia Kerdoud","Article","Texte intégral",8430,651,1954,1756,965,623,786,989,706
"56","T0056","Un exemple d’effets de dominos : la panique dans les catastrophes urbaines","29-11-2005","Rubriques Systèmes, Modélisation, Géostatistiques 2005","Damienne Provitolo","Article","Texte intégral",9809,650,1719,1367,993,903,1134,1487,1556
"57","T0057","La symbolique des lieux : pour une géographie des relations entre espace, pouvoir et identité","07-04-1998","Rubriques Politique, Culture, Représentations 1998","Jérôme Monnet","Article","Texte intégral",20568,642,1877,2216,2413,2043,2422,5134,3821
"58","T0058","Approche par analyse spatiale de la faisabilité de captage d'eau souterraine sur le Massif du Piton de la Fournaise (île de La Réunion - France - Océan Indien)","22-06-2004","Rubriques Cartographie, Imagerie, SIG 2004","Gwenaelle PennoberOlivier OdonJean-Lambert JoinJ-L. Folio","Article","Texte intégral",7363,641,1625,1398,934,675,734,673,683
"59","T0059","Análisis del sistema de protección ambiental de la Costa del Sol. Una frontera en litigio entre el espacio litoral y su trasfondo montañoso","10-10-2003","Rubriques Environnement, Nature, Paysage 2003","José Gómez ZotanoAntonia Paniza Cabrera","Article","Texte intégral",6018,641,1408,1217,786,648,561,405,352
"60","T0060","Une méthode d'analyse spatiale : l'association image modèle pour une approche de la &quot;durabilité&quot; du développement","07-11-1997","Rubriques Environnement, Nature, Paysage 1997","Annie Cheneau-Loquay","Article","Texte intégral",7663,640,1628,1340,914,786,734,732,889
"61","T0061","Distributions fractales des Pistes de Ski et des Remontées Mécaniques.Exemple de la station de Serre Chevalier","09-03-2007","Rubriques Systèmes, Modélisation, Géostatistiques 2007","Ivan Brissaud","Article","Texte intégral",4622,629,1039,845,617,403,315,407,367
"62","T0062","La récupération de l’eau de pluie dans les bâtiments : les enjeux d’une pratique de décentralisation partielle de la gestion des services d’eau","15-10-2004","Transversalités Dossiers 2005-2002 Séminaire de recherche du GDR Rés-Eau-Ville (CNRS 2524) ""L'eau à la rencontre des territoires"", Montpellier, France, 27-28 et 29 mai 2004","Bernard De Gouvello","Article","Texte intégral",8224,623,2328,1758,844,538,771,784,578
"63","T0063","Cross-Channel Geographers: a century of activity.","06-12-2005","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2005","Hugh Clout","Article","Texte intégral",7918,620,1754,1115,872,849,912,718,1078
"64","T0064","The Intellectual Construction of &quot;Social Distance&quot;: Toward a Recovery of Georg Simmel’s Social Geometry","16-09-1997","Rubriques Epistémologie, Histoire de la Géographie, Didactique 1997","Philip J. Ethington","Article","Texte intégral",22227,619,2064,2660,2255,2247,2660,3753,5969
"65","T0065","Les conceptions initiales des élèves turcs de CM2 relatives aux séismes","21-11-2005","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2005","Burckin Dal","Article","Texte intégral",7898,616,1828,1451,1242,997,531,533,700
"66","T0066","Spatial and temporal biodiversity variations in a high mountain environment: the case of the proglacial margin  of the Evettes, Natura 2000 area (Savoie, French Alps)","16-05-2007","Rubriques Environnement, Nature, Paysage 2007","Pierre PechSylvie ArquesVincent JomelliIngrid MailletNoémie MeloisMyrtille Moreau","Article","Texte intégral",7038,605,1589,1163,894,669,467,405,1246
"67","T0067","Le bloc-diagramme : une clé de compréhension des représentations du paysage chez les agriculteurs ? Mise au point d’une méthode d’enquête préalable à une gestion concertée du paysage en Artense(Massif central français)","10-01-2000","Rubriques Environnement, Nature, Paysage 2000","Yves Michelin","Article","Texte intégral",8522,581,1872,1655,1025,832,1022,851,684
"68","T0068","Analyse climatique de la région de Gouré, Niger oriental :récentes modifications et impacts environnementaux","02-05-2005","Rubriques Environnement, Nature, Paysage 2005","Pierre OzerCatherine BodartBernard Tychon","Article","Texte intégral",9936,581,1587,1865,1145,835,1201,1328,1394
"69","T0069","L’essor du vignoble au Québec Histoire de climats et de goûts","23-04-2001","Rubriques Politique, Culture, Représentations 2001","Frédéric Lasserre","Article","Texte intégral",6738,578,1227,1264,780,616,712,827,734
"70","T0070","Contacts","25-05-2007","La Revue","","Informations pratiques","Texte intégral",10241,577,1709,1246,1096,1054,2047,1215,1297
"71","T0071","La réhabilitation fonctionnelle des villes pré-coloniales d’Ouzbékistan : un outil de domination politique ?","19-06-2006","Rubriques Politique, Culture, Représentations 2006","Guillemette Pincent","Article","Texte intégral",7023,569,1487,1241,1180,939,561,461,585
"72","T0072","Une sélection de 90 sites web sur les diasporas","07-11-2005","Rubriques Espace, Société, Territoire 2005","Françoise Rollan","Article","Texte intégral",7144,565,829,828,598,777,1502,1257,788
"73","T0073","Une école pour des universitaires placés aux marges de l’expertise : les années trente et la cartographie géographique","17-11-2000","Transversalités Dossiers 1997 Colloque ""3O ans de sémiologie graphique""","Marie-Claire Robic","Article","Texte intégral",4891,561,1547,1108,758,529,171,106,111
"74","T0074","La mobilité quotidienne dans les grandes villes du monde : application de la théorie des réseaux bayésiens","18-02-2004","Transversalités Dossiers 2005-2002 6èmes Rencontres de Théo Quant, Besançon, France 20-21 février 2003. Articles sélectionnés par Cybergeo","Giovanni Fusco","Article","Texte intégral",5656,557,1189,954,707,636,490,563,560
"75","T0075","Les compagnies aériennes low cost sont-elles toujours un levier du développement local ?","09-03-2007","Vie Scientifique Débats Chronique d'économie géographique","Jean Bouinot","Article","Texte intégral",9365,555,1377,1072,715,600,1562,1987,1497
"76","T0076","Modélisations prospectives de l’occupation du sol. Le cas d’une montagne méditerranéenne","06-12-2004","Rubriques Systèmes, Modélisation, Géostatistiques 2004","Martin PaegelowNathalie VillaLaurence CornezFrédéric FerratyLouis FerréPascal Sarda","Article","Texte intégral",10505,553,1538,1318,3463,708,976,1124,825
"77","T0077","Le développement durable en question(s)","09-10-2007","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2007","François Mancebo","Article","Texte intégral",9884,553,1513,1977,2041,1030,885,1206,679
"78","T0078","Vendeurs ambulants à Rio de Janeiro : expériences citadines et défis des pratiques urbaines","19-03-2007","Transversalités Dossiers 2007-2006 Ambulantage et métropolisation","Maria De Fatima Cabral GomesCaterine Réginensi","Article","Texte intégral",7949,547,1218,1055,697,801,1156,1357,1118
"79","T0079","Le déterminisme des landes atlantiques : quelle réalité ?","27-06-2003","Rubriques Politique, Culture, Représentations 2003","Yves Petit-Berghem","Article","Texte intégral",7555,544,1478,1199,870,744,955,854,911
"80","T0080","Elections régionales 2004 : jeux d'échelles entre local, régional et national. L'enseignement des cartes de France par canton","25-03-2004","Vie Scientifique Débats Jeux d'échelles : les élections régionales 2004","Michel BussiCéline ColangeJean-Paul GossetJérome Fourquet","Article","Texte intégral",5541,538,1525,1215,1086,431,337,179,230
"81","T0081","Utilisation des données NOAA-AVHRR dans l’étude de la brise thermique et de l’Ilot de chaleur. Exemple de Sfax (se tunisien)","08-08-2005","Rubriques Cartographie, Imagerie, SIG 2005","Salem DahechGérard BeltrandoSylvain Bigot","Article","Texte intégral",6302,536,1209,1221,819,690,607,579,641
"82","T0082","La planification régionale en Haïti","16-03-1999","Rubriques Aménagement, Urbanisme 1999","Ernst A. Bernardin","Article","Texte intégral",11591,532,1478,1291,911,820,1724,2532,2303
"83","T0083","3-D GIS : Virtual London and beyond","27-10-2006","Transversalités Dossiers 2007-2006 Sélection des meilleurs articles de SAGEO 2005","Stephen EvansAndrew Hudson-SmithMichael Batty","Article","Texte intégral",8475,522,1924,1561,1034,744,886,964,840
"84","T0084","Risques environnementaux et enjeux à Clipperton (Pacifique français)","01-07-2005","Rubriques Environnement, Nature, Paysage 2005","Christian Jost","Article","Texte intégral",8829,517,1967,1877,1177,978,670,702,941
"85","T0085","Les hommes qui voulaient être rois Principautés et nations sur Internet","14-03-2000","Rubriques Espace, Société, Territoire 2000","Frédéric Lasserre","Article","Texte intégral",7769,515,1463,1528,1049,756,846,754,858
"86","T0086","Localisation optimale d’unités de soins dans un pays en voie de développement : analyse de sensibilité","24-08-2004","Rubriques Systèmes, Modélisation, Géostatistiques 2004","Xavier QuerriauMohamed KissiyarDominique PeetersIsabelle Thomas","Article","Texte intégral",6122,515,947,780,651,561,959,865,844
"87","T0087","Nos partenaires scientifiques","21-05-2007","La Revue","","Informations pratiques","Texte intégral",7446,513,1500,1191,746,698,1005,931,862
"88","T0088","La &quot;ville décor&quot; : accueil de tournages de films et mise en place d'une nouvelle esthétique urbaine","27-05-1999","Transversalités Dossiers 1997 Colloque ""les problèmes culturels des grandes villes"", 8-11 décembre 1997","Maria Gravari-Barbas","Article","Texte intégral",6719,505,1146,1104,916,913,728,641,766
"89","T0089","Concepts et modélisations de la diffusion géographique","09-03-2007","Rubriques Systèmes, Modélisation, Géostatistiques 2007","Patrice LangloisEric Daudé","Article","Texte intégral",3738,504,573,561,991,357,263,250,239
"90","T0090","Development of the marginal forested areas of the Russian European North","25-10-2004","Rubriques Espace, Société, Territoire 2004","Albina Pashkevich","Article","Texte intégral",8756,500,1798,2011,1693,1676,578,309,191
"91","T0091","La géographie dans les programmes scolaires en Europe","15-03-2000","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2000","Jean-Pierre Chevalier","Article","Texte intégral",4824,498,1341,891,582,420,388,372,332
"92","T0092","Elargissement de l’Union Européenne : résultats des référendums sur l’adhésion dans les pays d’Europe centrale et orientale","09-04-2004","Vie Scientifique Débats Enjeux européens","Violette ReySéverine MulatierHélène Roth","Article","Texte intégral",5560,498,1409,1294,583,418,360,461,537
"93","T0093","Milieux et sociétés sur les marges arides du croissant fertile : la télédétection et les S.I.G. au service d'une recherche géo-archéologique","05-05-2000","Transversalités Dossiers 1996 Actes des Journées de Télédétection en Sciences humaines","Françoise Debaine","Article","Texte intégral",4542,498,1183,786,712,556,290,277,240
"94","T0094","Long-term dynamics of European towns and cities : towards a spatial model of urban growth","29-03-2000","Transversalités Dossiers 1999 11th European Colloquium on Quantitative and Theoretical Geography. Durham Castle, UK, September 3-7, 1999","Anne BretagnolleHélène MathianDenise PumainCéline Rozenblat","Article","Texte intégral",6757,497,1571,981,814,755,714,633,792
"95","T0095","La politique des &quot;sites naturels&quot; classés dans les Pyrénées : rétrospective des applications et enjeux contemporains","28-09-2007","Rubriques Espace, Société, Territoire 2007","Johan Milian","Article","Texte intégral",7360,494,1673,1171,890,605,967,824,736
"96","T0096","L’Europe à travers le prisme du football. Nouvelles frontières circulatoires et redéfinition de la nation","03-12-2004","Rubriques Politique, Culture, Représentations 2004","Raffaele Poli","Article","Texte intégral",6066,492,1284,1010,817,504,752,622,585
"97","T0097","Impact of migration, natural population change and age composition on the redistribution of the population in Sweeden 1970 - 1996","29-02-2000","Rubriques Systèmes, Modélisation, Géostatistiques 2000","Johan Håkansson","Article","Texte intégral",8305,490,1564,1825,1035,626,1531,721,513
"98","T0098","La place de la ville dans le discours des aménageurs du début des années 1920 à la fin des années 1960.","20-11-1997","Rubriques Aménagement, Urbanisme 1997","Isabelle Couzon","Article","Texte intégral",5072,487,1248,1047,742,576,373,308,291
"99","T0099","Time and space scales for measuring urban growth","25-07-2002","Transversalités Dossiers 2001 12th European Colloquium on Quantitative and Theoretical Geography.St-Valery-en-Caux, France, September 7-11, 2001. St-Valery-en-Caux, France, September 7-11, 2001","Anne BretagnolleFabien PaulusDenise Pumain","Article","Texte intégral",7084,486,1235,1137,964,869,779,899,715
"100","T0100","Dynamique du parc de logements à Bogota : Analyse par typologies multi-dates","09-01-2006","Rubriques Espace, Société, Territoire 2006","Marie PironFrançoise DureauChristian Mullon","Article","Texte intégral",5559,477,1319,929,735,503,433,480,683
"101","T0101","GenMNT : un outil simple pour la génération de modèles numériques de terrains","10-02-1999","Rubriques Systèmes, Modélisation, Géostatistiques 1999","Christophe PoixE. Sefiha","Article","Texte intégral",5831,472,1235,1127,704,547,591,546,609
"102","T0102","Télétravail, travail nomade : le territoire et les territorialités face aux nouvelles flexibilités spatio-temporelles du travail et de la production","06-02-2004","Rubriques Espace, Société, Territoire 2004","Bruno Moriset","Article","Texte intégral",11108,470,1556,1763,1248,1058,1700,1833,1480
"103","T0103","Le paysage des géographes russes : l’évolution du regard géographique entre le xixe et le xxe siècle","16-11-2000","Rubriques Epistémologie, Histoire de la Géographie, Didactique 2000","Marina Frolova","Article","Texte intégral",5627,468,1278,1098,788,638,506,476,375
"104","T0104","Cartographie des milieux naturels et semi-naturels du littoral de Corse du sud","06-07-1999","Rubriques Cartographie, Imagerie, SIG 1999","Frédéric BioretFrançoise Gourmelon","Article","Texte intégral",6063,468,1375,1274,885,654,593,446,368
"105","T0105","Les vitesses dans l’aire urbaine dijonnaise : un modèle fondé sur la fonction logistique et la courbe de congestion routière débit-vitesse","01-12-2005","Rubriques Systèmes, Modélisation, Géostatistiques 2006","Cyril Enault","Article","Texte intégral",4964,465,757,803,544,557,778,505,555
"106","T0106","La multifonctionnalité de l'agriculture en pratique : étude des relations entre exploitations agricoles et étangs de la Dombes.","09-09-2005","Rubriques Espace, Société, Territoire 2005","Christophe Toussaint Soulard","Article","Texte intégral",9247,465,1236,1231,892,1171,1312,1478,1462
"107","T0107","Un exemple à l'échelle d'une ville : les bureaux à Stasbourg","27-01-1999","Rubriques Espace, Société, Territoire 1999","Annie Goyer","Article","Texte intégral",4568,461,1212,863,653,398,396,281,304
"108","T0108","Cartographie interactive et multimédia : vers une aide à la réflexion géographique","21-10-2004","Rubriques Systèmes, Modélisation, Géostatistiques 2004","Jean-Philippe AntoniOlivier KleinStéphane Moisy","Article","Texte intégral",8863,459,997,1080,1242,1253,1411,1330,1091
"109","T0109","The emergence of a “City of Cages” in Lima : neighbourhood appropriation in the context of rising insecurities","05-06-2007","Transversalités Dossiers 2007-2006 Systemic impacts and sustainability of gated enclaves in the City, Pretoria, South Africa, Feb.28-March 3, 2005","Jörg Plöger","Article","Texte intégral",4970,456,993,744,561,477,463,501,775
