"id"	"UID"	"SCHID"	"Title"	"Title_en"	"keywords_en"	"keywords_fr"	"authors"	"date"	"langue"	"translated"	"numciting"	"numcited"
"979"	""	"8962954501059411426"	"Amirou R., 2000, <em>Imaginaire du tourisme culturel</em>, Paris, PUF."	""	""	""	";Philippe , Bachimon"	"2000-06-08"	"fr"	"false"	"0"	"0"
"593"	"T0568"	""	"Les tentations de la bibliométrie : mesure et démesure"	""	""	""	";Denise , Pumain"	"2004-09-12"	"fr"	"false"	"0"	"0"
"591"	"T0606"	""	"Cartographie et intelligence artificielle"	""	""	""	";Denise , Pumain"	"2005-11-15"	"fr"	"false"	"0"	"0"
"20103"	"T0758"	""	"Georgia on my mind ....."	""	""	""	";Bernard , Elissalde"	"2008-09-22"	"Fr"	"false"	"0"	"2"
"18592"	"T0740"	"7841555414323198880"	"Télédétections thermiques infrarouges des concentrations urbaines au Maroc"	"Recognition of Urban Areas in Morocco by Thermal Infrared Remote Sensing"	";ségrégation socio spatiale;densité du bâti;Morocco;métropolisation;socio spatial segregations;Maroc;télédétection infrarouge thermique;metropolization;built density;Thermal remote sensin"	"télédétection infrarouge thermique,densité du bâti,ségrégation socio spatiale,métropolisation,Maroc"	";Sébastien , Gadal"	"2008-05-15"	"fr"	"true"	"0"	"28"
"17332"	"T0735"	"15490879080726553951"	"Typologie mondiale des relations ville-port"	"World typology of city-port relationships"	";monde;centrality;réticularité;port city;regionalisation;intermediacy;ville portuaire;centralité;nodality;nodalité;world;régionalisatio"	"centralité,monde,nodalité,régionalisation,réticularité,ville portuaire"	";César , Ducruet"	"2008-03-27"	"fr"	"true"	"0"	"49"
"292"	"T0553"	""	"Urban rain water drainage networks"	""	""	""	";Marcel , Miramond"	"1996-04-12"	"fr"	"false"	"0"	"1"
"640"	""	""	"Milieux et sociétés sur les marges arides du croissant fertile : la télédétection et les S.I.G. au service d'une recherche géo-archéologique"	"Milieu and society on the arid fringe of the fertile cruscant : remote sensing and GIS for a geo-archeological study"	";télédétection;remote sensin"	"télédétection"	";Françoise , Debaine"	"2000-05-05"	"fr"	"true"	"0"	"0"
"24787"	"T0976"	"14496893494338490424"	"Urban Built Form Grows Critical"	""	";auto-organisation;développement urbain;self-organization;Modélisation;urban development;Modellin"	"développement urbain,auto-organisation,Modélisation"	";Leonardo , Lima;Vinicius M. , Netto;Romulo , Krafta"	"2011-11-20"	"en"	"false"	"0"	"10"
"722"	"T0186"	"6786335618953713390"	"L’apport des images satellitaires dans l’étude des dynamiques de l’occupation du sol des villes d’Amérique Latine"	"The use of remote sensing in land occupation dynamics' studies : the south-american cities' case"	";télédétection;remote sensin"	"télédétection"	";Anne Collin , Delavaud"	"2000-05-05"	"fr"	"true"	"0"	"7"
"5484"	""	""	"Le préfet de département entre politique globale et locale de l'eau : exemple de la limitation des usages <a class=footnotecall id=bodyftn1 href=#ftn1>1</a>"	"French local authority (préfet de département) between global and local policy of water : example of the limitation of the uses"	";droit de l'environnement;articulation;global;autorité administrative;local;environmental law;local authorit"	"droit de l'environnement,global,local,articulation,autorité administrative"	";Nadia , Belaidi"	"2006-06-15"	"fr"	"true"	"0"	"0"
"15703"	"T0766"	"5566597164543635971"	"Geographical Values, the Values of Geography"	""	""	""	";Denise , Pumain"	"2008-01-02"	"en"	"false"	"0"	"0"
"25946"	"T1108"	"7192936767021599671"	"Ferretti F., 2012, Elisée Reclus. Lettres de prison et d’exil, Lardy, À la frontière, 159 p."	""	""	""	";Lionel , Gauthier"	"2013-06-01"	"fr"	"false"	"0"	"0"
"16793"	"T0757"	""	"Typologie socio-électorale des principales villes françaises à la veille des élections municipales 2008"	""	";France;élections;election"	"élections,France"	";Céline , Colange"	"2008-03-11"	"fr"	"false"	"0"	"0"
"26762"	""	""	"Monjaret A., Pugeault C. (dir.), 2014, <em>Le sexe de l’enquête. Approches sociologiques et anthropologiques</em>, Lyon, ENS éditions."	""	""	""	";Marianne , Blidon"	"2015-02-19"	"fr"	"false"	"0"	"11"
"22762"	""	""	"Daudel Christian, 2008, <em>Jean Demangeot : géographe de terrain</em>, Paris, L'Harmattan, 350 p."	""	""	""	";Denis , Wolff"	"2009-11-12"	"fr"	"false"	"0"	"0"
"5439"	"T0443"	"8250701945158690257"	"Territoire et exclusion : des mots de l´Etat-providence et des maux de la société civile "	""	";politique sociale;métropole;social polarisation;social integration;welfare policy;intégration sociale;urban society;social exclusion;urban segregation;exclusion sociale;ségrégation urbaine;residential segregation;espace urbain;société urbaine;post-industrial metropol"	"exclusion sociale,intégration sociale,ségrégation urbaine,politique sociale,métropole,espace urbain,société urbaine"	";Catherine , Rhein"	"1997-10-24"	"fr"	"false"	"0"	"14"
"1575"	"T0045"	""	"Soil pollution in an urban area : a GIS approach"	""	""	""	";Jean-Pierre , Vapaille;Yves , Guermond;Daniel , Delahaye;Pierrich , Folligne;Renaud , Zambeaux"	"1998-03-19"	"en"	"false"	"0"	"4"
"22918"	"T0868"	"10871350001999694759"	"Logiques d’affectation des professeurs des écoles néotitulaires dans le Nord"	"Process of job allocation for primary school teachers beginners in north of France"	";North of France;mobilité;professeur des écoles;IUFM;primary school teacher;Nord;néotitulaire;mobility;beginne"	"IUFM,mobilité,néotitulaire,Nord,professeur des écoles"	";Xavier , Leroux"	"2010-02-10"	"fr"	"true"	"0"	"11"
"22339"	""	"5831585120351210352"	"Martin de La Soudière, <em>Lignes secondaires</em>, Créaphis, 2008, 125 p."	""	""	""	";André , Rauch"	"2009-05-20"	"fr"	"false"	"0"	"0"
"26774"	""	"9426045279417949835"	"Dynamique spatiale et usage des schorres de l’Anse de l’Aiguillon de 1705 à nos jours. Enjeux de conservation d’un patrimoine naturel littoral marin"	"Spatial dynamics and human-uses of the salt-marshes of the Anse de l’Aiguillon since 1705. Conservation stakes of a coastal natural heritage"	";saltmarshes;nature conservation;littoral;cartography;historical geography;cartographie;conservation de la nature;Marais poitevin;prés salés;géographie historiqu"	"littoral,cartographie,géographie historique,conservation de la nature,Marais poitevin,prés salés"	";Emmanuel , Joyeux;Fernand , Verger;Laurent , Godet;Laurent , Pourinet"	"2015-02-24"	"fr"	"true"	"0"	"34"
"870"	""	"10452945177610020203"	"McEwan C., 2000, <em>Gender, geography and empire: Victorian women travellers in West Africa</em>, Ashgate Publishing, Aldershot, 256 p."	""	""	""	";Mechtild , Rössler"	"2002-05-21"	"en"	"false"	"0"	"0"
"25264"	"T1041"	"6698018902174056282"	"Vers la disparition des brousses ? Analyse multi-scalaire de la dynamique des paysages à l’ouest du Burkina Faso depuis 1952"	"Is the end of the West African bush? Multi-scale analysis of landscape dynamics in Western of Burkina Faso since 1952"	";spatial analysis;West Africa;Paysage;conservation;Landscape;agriculture;analyse spatiale;Afrique de l’ouest;protection de la natur"	"Paysage,analyse spatiale,protection de la nature,agriculture,Afrique de l’ouest"	";Daniel , Delahaye;Sébastien , Caillault;Aziz , Ballouche"	"2012-04-10"	""	"true"	"0"	"50"
"841"	""	"4166610093719884556"	"Dupuy G., 2002, <em>Internet, géographie d´un réseau</em>. Ellipses, coll. Carrefours, 160 p."	""	""	""	";Denise , Pumain"	"2003-02-05"	"fr"	"false"	"0"	"0"
"23402"	""	"427110688238162735"	"Lieber M., 2008, <em>Genre, violences et espaces publics. La vulnérabilité des femmes en question</em>, Paris, Presses de Sciences-Po."	""	""	""	";Elise , Olmedo"	"2010-12-09"	"fr"	"false"	"0"	"0"
"26621"	"T1154"	"12549443559144549272"	"Définir la France en géographie : des professeurs et des élèves au travail dans l’enseignement secondaire"	"What is France like in geography? Pupils and Teachers at work in secondary school"	";géographie scolaire;didactics trials;didactique de la géographie;geography of France;school geography;iconography;épreuve didactique;geography didactics;iconographie;géographie de la Franc"	"géographie scolaire,géographie de la France,épreuve didactique,didactique de la géographie,iconographie"	";Jean-François , Thémines;Anne-Laure , Le Guern"	"2014-12-21"	"fr"	"true"	"0"	"60"
"2549"	"T0009"	"10395990831169684398"	"La industria cultural en el mundo. Estructura, composición y distribución territorial de los grupos multimedia en España"	"The cultural industry in the world. Structure, composition and territorial distribution of the multimedia groups in Spain"	";géographie économique;geografía económica;empresa;entreprise;enterprise;cultura;media;economic geography;cultur"	"culture,entreprise,géographie économique,media"	";Agustín Gámir , Orueta"	"2004-08-23"	"es"	"true"	"0"	"27"
"12443"	"T0293"	"1951334589232400018"	"Configurations atmosphériques de vastes échelles spatiales et variabilité des surcotes dans le Golfe du Lion"	"Broad-scale atmospheric patterns and sea-surge variations in the Golfe du Lion"	";Golfe du Lion.;surcote marine;weather regimes;pression atmosphérique;sea surge;atmospheric pressure;type de temps;Golfe du Lio"	"surcote marine,pression atmosphérique,type de temps,Golfe du Lion"	";Albin , Ullmann;Vincent , Moron"	"2007-11-05"	"Fr"	"true"	"0"	"14"
"952"	""	"4690251746164487263"	"Brunet R., 2003, <em>Le diamant. Un monde en révolution</em>. Paris, Belin, 416 p."	""	""	""	";Jean-Louis , TISSIER"	"2004-02-20"	"fr"	"false"	"0"	"0"
"22861"	""	""	"Desse R.-P., Fournié A., Gasnier A., Lemarchand N., Metton A. et Soumagne J. (dir.), 2008, <em>Dictionnaire du commerce et de l’aménagement</em>, Rennes, PUR, 357 p."	""	""	""	";Antoine , Fleury"	"2009-12-22"	"fr"	"false"	"0"	"0"
"4375"	""	""	"Les Chinois d'outre-mer des Tchou à Deng Xiaoping : des origines historiques et géographiques d'un phénomène migratoire plus que millénaire"	"Chinese Overseas, From the Chou to Deng Xiaoping : Historical and Geographical Origins of a Migratorial Phenomenon Spanning Over a Millenium"	";migration;syndicates and secret societies;triad;diaspora;trade;triades;Chinois d'outre-mer;Yueh;commerce;syndicats et sociétés secrètes;Chine;Coxinga;Sun Tzu;Confucianism;sea-going;Chinese Overseas;Cheng Ho;confucianisme;maritime;Chin"	"Cheng Ho,Chine,Chinois d'outre-mer,commerce,confucianisme,Coxinga,diaspora,maritime,migration,Sun Tzu,syndicats et sociétés secrètes,triades,Yueh"	";Pierre-Arnaud , Chouvy"	"2000-03-03"	"fr"	"true"	"0"	"0"
"22858"	""	""	", Centro Nacional de Informacion Geografica, Madrid, 387 p."	""	""	""	";Nicolas , Verdier"	"2009-12-17"	"fr"	"false"	"0"	"0"
"5399"	"T0254"	""	"Liste chronologique des principaux périodiques français de géographie "	""	";France;journal;geography;géographie;revue"	"revues,géographie,France"	";Bernadette , Joseph"	"1997-03-21"	"fr"	"false"	"0"	"0"
"23225"	""	""	"Les émissions de CO<sub>2</sub> et autres gaz à effets de serre"	""	";mondialisation;globalization;protocole de Kyoto;géopolitique;Kyoto protocol;gaz à effet de serre;greenhouse gases;geopolitic"	"gaz à effet de serre,géopolitique,mondialisation,protocole de Kyoto"	";François , Durand-Dastès"	"2010-07-20"	"fr"	"false"	"0"	"0"
"696"	"T0302"	"2680772703289253876"	"Classification neuronale des textures de milieux terrestres naturels en télédétection radar"	"Neuronal classification of natural space's textures using radar sensing"	";télédétection;remote sensin"	"télédétection"	";Robert , Jeansoulin;Ph. , Mainguenaud"	"2000-05-05"	"fr"	"true"	"0"	"3"
"23633"	""	"1916496183712539496"	"Pinson G., 2009, <em>Gouverner la ville par projet, urbanisme et gouvernance des villes européennes</em>, Presses de Science Po, Paris, 418 p."	""	""	""	";Maïté , Verdol"	"2011-05-04"	"fr"	"false"	"0"	"0"
"22420"	"T0847"	"15307835239789861955"	"Introduction au concept d’acte cybercartographique : genèse d’un atlas cybercartographique"	"Introducting the Concept of a Cybercartographic Act: The Creation of a Cybercartographic Atlas"	";antarctic;cybercartography;antarctique;cybercartographie;photography;photographie;Internet;atla"	"antarctique,atlas,cybercartographie,Internet,photographie"	";Peter , Pulsifer;Sébastien , Caquard;Jean-Pierre , Fiset;D. R. Fraser , Taylor"	"2007-07-19"	"fr"	"true"	"0"	"34"
"490"	"T0402"	"1470033040145024796"	"Le développement de la graphique de 1967 à 1997"	"Graphic science developments from 1967 to 1997"	";sémiologie graphiqu"	"sémiologie graphique"	";Serge , Bonin"	"2000-11-17"	"fr"	"true"	"0"	"0"
"16283"	"T0753"	"4521167975068893234"	"Is there a link between fractal dimension and residential environment at a regional level?"	""	";socio-economic indicators;built-up patterns;Wallonie;landscape quality;indicateurs socio-économiques;dimension fractale;Wallonia;tissus bâtis;Belgium;fractal dimension;Belgique;qualité paysagèr"	"dimension fractale,tissus bâtis,indicateurs socio-économiques,qualité paysagère,Wallonie,Belgique"	";Pierre , Frankhauser;Cécile , Tannier;Isabelle , Thomas"	"2008-02-25"	"en"	"false"	"0"	"49"
"5079"	"T0639"	""	"Contribution théorique à la mesure de l'homogénéité des tissus urbains"	"How is it possible to measure the homogeneity of an intra-urban structure?"	""	""	";Mindjid , Maïzia"	"1999-06-16"	"fr"	"true"	"0"	"0"
"25385"	"T1033"	"2051867956673341842"	"Les hommes qui voulaient être rois II. Sociologie des États privés"	""	";État;State;souveraineté;gouvernement;représentations;private State;sovereignty;representations;micronation;government;Internet;État priv"	"État,État privé,gouvernement,Internet,micronation,représentations,souveraineté"	";Frédéric , Lasserre"	"2012-07-12"	"fr"	"false"	"0"	"37"
"26498"	"T1187"	""	"¿Quiénes somos?"	""	""	""	""	"2015-04-01"	"es"	"false"	"0"	"0"
"25285"	"T1011"	"7820654797362893989"	"La borréliose de Lyme : un risque sanitaire émergent dans les forêts franciliennes ?"	"Is Lyme borreliosis an emerging health risk in the forests of Ile-de-France?"	";France;vulnérabilité;health risk;émergence;suburban;Lyme borreliosis;périurbain;forest of Sénart;forêt de Sénart;vulnerability;risque sanitaire;borréliose de Lyme;emergenc"	"émergence,risque sanitaire,forêt de Sénart,périurbain,borréliose de Lyme,vulnérabilité,France"	";Christelle , Méha;Hedi , Haddad;Bernard , Moulin;Vincent , Godard"	"2012-04-20"	""	"true"	"0"	"64"
"25423"	"T1040"	"17785371142744855762"	"Démarche géo-prospective et modélisation causale probabiliste"	"Spatial Strategic Foresight and Probabilistic Causal Modelling"	";decision graphs;French riviera metropolitan area;Bayesian networks;spatial strategic foresight;métropole azuréenne;géo-prospective territoriale;probabilistic causal modelling;modélisation causale probabiliste;scenario building;graphes de décision;construction de scénarios;réseaux Bayésien"	"géo-prospective territoriale,modélisation causale probabiliste,réseaux Bayésiens,graphes de décision,construction de scénarios,métropole azuréenne"	";Giovanni , Fusco"	"2012-07-20"	"fr"	"true"	"0"	"34"
"847"	""	"14922517924686068609"	"Driver F., 2001, <em>Geography Militant. </em><em>Cultures of Exploration and Empire</em>, Oxford, Blackwell Publishers, 258 p."	""	""	""	";Jean-Marc , Besse"	"2002-11-04"	"fr"	"false"	"0"	"0"
"6407"	"T0351"	""	"Atlas of South India - 1991"	""	";demography;démographie;Inde;India;atla"	"atlas,Inde,démographie"	";Sébastien , Oliveau"	"2005-03-26"	"en"	"false"	"0"	"0"
"22214"	""	"2582745968531989864"	"Popularising geography in France’s second city: The rôle of the <em>Société de Géographie de Lyon</em>, 1873-1968"	""	";geographical knowledge;history of geography;Lyon;colonization;savoir géographique;histoire de géographie;colonisatio"	"colonisation,histoire de géographie,Lyon,savoir géographique"	";Hugh , Clout"	"2009-04-27"	"en"	"false"	"0"	"170"
"145"	"T0256"	"8516849664134525117"	"Interpolation de données ponctuelles"	""	""	""	";Patrice , Langlois"	"1996-06-05"	"fr"	"false"	"0"	"2"
"845"	""	"13231756017417926064"	"Zeneidi-Henry Djemila, 2002, <em>Les SDF et la ville. Géographie du savoir-survivre</em>, Paris, éditions Bréal, collection D´autre Part."	""	""	""	";Maryse , Marpsat"	"2003-01-14"	"fr"	"false"	"0"	"0"
"3733"	"T0600"	"6568652752834052302"	"From the observations to the construction of a urban dynamics simulation model : an inductive approach"	""	";synergetic;fuzzy sets;location choice;intra-urban modelling;synergétique;choix de localisation;sous-ensembles flous;modélisation intra-urbaine;micro-simulatio"	"choix de localisation,micro-simulation,modélisation intra-urbaine,sous-ensembles flous,synergétique"	";Pierre , Frankhauser;Cécile , Tannier"	"2001-04-26"	"en"	"false"	"0"	"0"
"877"	""	"840139259079324135"	"Domenach H., Picouet M. (dir), <em>Population et environnement</em>, 2000, Paris, PUF, Que Sais-Je ?"	""	""	""	";Catherine , Rhein"	"2002-03-06"	"fr"	"false"	"0"	"0"
"26250"	"T1136"	""	"Qualifier les espaces urbains à Dakar, Sénégal"	""	";census;l’agglomération Dakaroise;Urban vulnerability;recensement;Dakar metropolitean area;GIS;SIG;télédétection;Pauvreté urbaine;remote sensin"	"Pauvreté urbaine,télédétection,recensement,SIG,l’agglomération Dakaroise"	";Alphousseyni , N’Donky;Jean-Pierre , Lacaux;Vanessa , Machault;Cécile , Vignolles;Marion , Borderon;Sébastien , Oliveau"	"2014-03-27"	"fr"	"false"	"0"	"25"
"26495"	"T1185"	"5654362662439405497"	"The challenge of Open Access"	""	""	""	";Denise , Pumain"	"2014-10-21"	"en"	"false"	"0"	"0"
"26070"	"T1126"	"5106954337079478907"	"Frankhauser P., Ansel D. (dir.), 2012, La décision d’habiter ici ou ailleurs, Paris, Economica-Anthropos, Collection Villes, 383 p."	""	""	""	";Gabriel , Dupuy"	"2013-11-22"	"fr"	"false"	"0"	"0"
"26055"	"T1112"	"13374826065191667078"	"Berti D., Tarabout G. (eds), 2009, Territory, Soil and Society in South Asia, New Delhi, Manohar, 379 p."	"Berti D., Tarabout G. (eds), 2009, Territory, Soil and Society in South Asia, New Delhi, Manohar, 379 p."	""	""	";Pierre-Yves , Trouillet"	"2013-09-16"	"fr"	"true"	"0"	"0"
"19683"	""	"4795716712207596441"	"La mesure de l’urbanisation aux Etats-Unis, des premiers comptoirs coloniaux aux <em>Metropolitan Areas</em> (1790-2000)"	"Measuring urbanization in United States, from the first trading post to the Metropolitan Areas (1790-2000)"	";United States;Etats-Unis;data base model;urbanisation 19e-20e siècles;19th and 20th urbanization;modèle de données;aires fonctionnelles;urban concentration;urban delineations;croissance urbaine;SIG;municipalités;urban growth;agglomerations;hiérarchisation;agglomérations;délimitation urbaine;space-time referential;metropolitan areas;référentiel espace-temps;cities and town"	"délimitation urbaine,municipalités,agglomérations,aires fonctionnelles,référentiel espace-temps,modèle de données,SIG,urbanisation 19e-20e siècles,croissance urbaine,hiérarchisation,Etats-Unis"	";Anne , Bretagnolle;Hélène , Mathian;Timothée , Giraud"	"2008-07-10"	"fr"	"true"	"0"	"26"
"3520"	"T0198"	"3460133745660758914"	"L'héritage d'Henri Baulig (1877-1962)   éléments biographiques, bibliographie complète, inventaire des notes manuscrites "	"Heritage of Henri Baulig (1877-1962)  biographical issues, complete bibliographical elements, handwritings inventory"	";university;manuscrit;histoire de la géographie;géomorphologie;biography;bibliography;bibliographie;history;Strasbourg;université;biographie;Baulig;geomorphology;handwritin"	"Baulig,géomorphologie,biographie,bibliographie,manuscrit,Strasbourg,université,histoire de la géographie"	";Christophe , Masutti"	"2002-11-22"	"fr"	"true"	"0"	"126"
"25703"	"T1099"	"11419974393909109225"	"La géographie de la croissance d’emploi en France à l’aune de processus Nord-Américains : vers une théorisation du contexte"	""	";géographie économique;théorie;Développement territorial;theory;modèles de croissance;growth models;economic geography;Territorial developmen"	"Développement territorial,modèles de croissance,géographie économique,théorie"	";Mario , Polèse;Richard , Shearmur;Laurent , Terral"	"2013-01-26"	"fr"	"false"	"0"	"67"
"23152"	"T0882"	"5262338330397019669"	"Des réseaux d’agriculteurs en faveur de l’environnement en France"	"Farmers networks in favor of the environment in France"	";water;protection des paysages;landscape protection;representation;développement durable;sustainable development;agriculture;pollution;représentation;eau;multifunctionality;multifonctionnalit"	"agriculture,développement durable,eau,multifonctionnalité,pollution,protection des paysages,représentation"	";François , Laurent;Rosa , Vieira Medeiros"	"2010-05-19"	"fr"	"true"	"0"	"27"
"284"	"T0700"	""	"Cityrhythms"	""	""	""	";Dietrich , Henckel"	"1996-04-12"	"en"	"false"	"0"	"0"
"21991"	""	""	"M. Thériault, F. Des Rosiers (dir), 2008, <em>Information géographique et dynamiques urbaines 1 - Analyse et simulation de la mobilité des personnes</em>, Volume du traité IGAT, Lavoisier, 292 p."	""	""	""	";Thomas , Louail;Florent Le , Néchet"	"2009-02-11"	"fr"	"false"	"0"	"0"
"5234"	"T0298"	"4477606721911064965"	"Demographic growth and spatial organisation : a representation in model form of active processes in Bolívar province, Ecuador"	""	";modélisation;démographie;migration;graphic modelling;Ecuador;Bolivar;environnement rural;Equateur;demographic pressure;rural environment;Bolívar Provinc"	"environnement rural,démographie,migration,modélisation,Equateur,Bolivar"	";Yves , Poinsot;Michel , Pouyllau;Fabien , Pouille"	"1999-02-02"	"es"	"false"	"0"	"20"
"26440"	"T1156"	"16612201304630735484"	"Dimensions fractales de réseaux vectoriels : méthodes d’estimation et robustesse des résultats"	""	";Uncertainty;dimension fractale;Réseaux simulés;Incertitude;Virtual networks;fractal dimensions;Stream networks;Réseaux hydrographique"	"dimension fractale,Réseaux hydrographiques,Réseaux simulés,Incertitude"	";Christian , Puech;Jean-Marc , Bardet;Nathalie , Thommeret;Brigitte , Kaiser;Jean-Stéphane , Bailly"	"2014-08-18"	"fr"	"false"	"0"	"68"
"227"	"T0064"	"13226793032603064675"	"The Intellectual Construction of &quot;Social Distance&quot;: Toward a Recovery of Georg Simmel’s Social Geometry"	""	""	""	";Philip J. , Ethington"	"1997-09-16"	"en"	"false"	"0"	"62"
"3815"	"T0102"	"327597670919904048"	"Télétravail, travail nomade : le territoire et les territorialités face aux nouvelles flexibilités spatio-temporelles du travail et de la production"	"Teleworking, telecommuting, nomadic work : Space, place and the emergence of new workplace and production flexibilities"	";espace;territory;society;télétravail;travail;enterprise;workplace;space;temps;time;telework;transport;territoire;société;entreprise;commutin"	"entreprise,espace,société,télétravail,temps,territoire,transport,travail"	";Bruno , Moriset"	"2004-02-06"	"fr"	"true"	"0"	"76"
"1448"	"T0361"	""	"Le difficile retour du &quot; collectif &quot; dans la gestion de l’eau : Regards sur 15 années d’efforts en Camargue gardoise"	"The uneasy comeback of the collective water managment: feed back on the fifteen last years works in Camargue gardoise (France)"	";Camargue;conflicts;conflit;water;local development;stratégie d'acteur;resource;wet zone;environmental damages;développement local;dégradation;France;ressource;eau;Gard;zone humide;environnemen"	"Camargue,conflit,dégradation,développement local,eau,environnement,France,Gard,ressource,stratégie d'acteur,zone humide"	";Anne , Rivière-Honegger;Daniel , Petit"	"2004-11-15"	"fr"	"true"	"0"	"7"
"5251"	"T0107"	"16293764181797684110"	"Un exemple à l'échelle d'une ville : les bureaux à Stasbourg"	""	";spatial analysis;office;Strasbourg;localisation intra-urbaine;représentation spatio-fréquentielle;intra-urban location;burea"	"Strasbourg,bureau,localisation intra-urbaine,représentation spatio-fréquentielle"	";Annie , Goyer"	"1999-01-27"	"fr"	"false"	"0"	"17"
"373"	"T0156"	"12441624726891572241"	"Space-time Contraction and the Dynamics of Urban Systems"	""	";space-time contraction;urbanisation;Europe;urban syste"	""	";Denise , Pumain;Céline , Rozenblat;Anne , Bretagnolle"	"1998-07-10"	"en"	"false"	"0"	"32"
"25934"	"T1086"	""	"City Heritage Tourism without Heirs"	""	";patrimonialisation;patrimoine Juif;commodification of culture;authenticity;heritagisation;marchandisation de la culture;tourism;tourisme;authenticité;Jewish heritag"	"patrimoine Juif,tourisme,patrimonialisation,authenticité,marchandisation de la culture"	";Olivia , Sandri"	"2013-05-28"	"en"	"false"	"0"	"63"
"2508"	"T0217"	"2965762786192258152"	"Fractalité de certains réseaux d'irrigation de l’Arc Alpin"	"Fractality of some irrigation canals in the Alps mountains"	";Alpes;fractales;canals;montagne;Alps;réseau;fractals;network;irrigatio"	"fractales,réseau,irrigation,Alpes,montagne"	";Ivan , Brissaud"	"2004-06-23"	"fr"	"true"	"0"	"3"
"20043"	""	""	"Claire Delfosse, 2007, <em>La France fromagère </em><em>(1850-1990)</em>, Paris, Editions la Boutique de l'Histoire, coll. « Mondes ruraux contemporains », 270 p."	""	""	""	";Henri , Chamussy"	"2008-09-16"	"fr"	"false"	"0"	"0"
"965"	""	"13768976646893656040"	"Graham, B., Ashworth G.J., Turnbridge, J.E., 2000, <em>A Geography of heritage</em>, London : Arnold, 284 p."	""	""	""	";Jean-Pierre , Chevalier"	"2001-01-16"	"fr"	"false"	"0"	"0"
